file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
cere,3,4188985597,6291456,11.31,1538433252,6291456, 2.03,136209718,461286644
cere,4,3690298296,6291456,11.52,1137796128,6291456, 2.09,155308392,461286644
cere,5,3413526313,6291456,10.59,922586811,6291456, 1.55,140185153,461286644
cere,6,3229011676,6291456,10.16,830358738,6291456, 1.49,125449190,461286644
cere,7,3097215492,6291456,10.01,768971051,6291456, 1.26,122662437,461286644
cere,8,2998368364,6291456, 9.48,725470096,6291456, 1.17,121438344,461286644
cere,9,2921487260,6291456, 9.46,694388613,6291456, 1.08,122545756,461286644
cere,15,2675467725,6291456,10.12,761204652,6291456, 1.67,260470381,461286644
cere,30,2490953232,6291456, 9.69,792903070,6291456, 1.49,314587038,461286644
cere,60,2398696184,6291456, 8.92,837001444,6291456, 0.97,367111940,461286644
