file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
dblp.xml.0001.1,3,947406802,6291456, 2.74,350062752,6291456, 0.33,,
dblp.xml.0001.1,4,838865932,6291456, 2.30,245052040,6291456, 0.25,,
dblp.xml.0001.1,5,775951376,6291456, 2.47,210069701,6291456, 0.25,,
dblp.xml.0001.1,6,734008374,6291456, 2.17,189303762,6291456, 0.20,,
dblp.xml.0001.1,7,704049094,6291456, 2.40,175771500,6291456, 0.20,,
dblp.xml.0001.1,8,681579548,6291456, 2.07,165185164,6291456, 0.16,,
dblp.xml.0001.1,9,664103341,6291456, 2.17,159310813,6291456, 0.20,,
dblp.xml.0001.1,15,608179297,6291456, 2.10,140262632,6291456, 0.15,,
dblp.xml.0001.1,30,566236448,6291456, 2.14,129032542,6291456, 0.15,,
dblp.xml.0001.1,60,545265192,6291456, 2.04,125691688,6291456, 0.13,,
