file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
dna.001.1,3,948247954,6291456, 2.39,349879312,6291456, 0.35,,
dna.001.1,4,838865932,6291456, 2.00,245494960,6291456, 0.26,,
dna.001.1,5,775951376,6291456, 2.28,209561286,6291456, 0.22,,
dna.001.1,6,734008374,6291456, 2.04,188766258,6291456, 0.19,,
dna.001.1,7,704049094,6291456, 2.34,174856917,6291456, 0.19,,
dna.001.1,8,681579548,6291456, 2.18,165225616,6291456, 0.17,,
dna.001.1,9,664103341,6291456, 2.17,159121966,6291456, 0.21,,
dna.001.1,15,608179297,6291456, 2.27,151071896,6291456, 0.26,,
dna.001.1,30,566236448,6291456, 2.14,137959162,6291456, 0.24,,
dna.001.1,60,545265192,6291456, 2.11,133735588,6291456, 0.19,,
