file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
sources.001.2,3,953096770,6291456, 3.00,357443032,6291456, 0.42,,
sources.001.2,4,838865932,6291456, 2.36,246109712,6291456, 0.28,,
sources.001.2,5,775951376,6291456, 2.61,217607420,6291456, 0.33,,
sources.001.2,6,734008374,6291456, 2.56,191155062,6291456, 0.23,,
sources.001.2,7,704049094,6291456, 2.49,180825257,6291456, 0.29,,
sources.001.2,8,681579548,6291456, 2.26,166191032,6291456, 0.18,,
sources.001.2,9,664103341,6291456, 2.34,167875065,6291456, 0.21,,
sources.001.2,15,608179297,6291456, 2.26,162310117,6291456, 0.28,,
sources.001.2,30,566236448,6291456, 2.36,165326766,6291456, 0.30,,
sources.001.2,60,545265192,6291456, 2.28,180143428,6291456, 0.20,,
