file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
dna.001.1,3,948243842,6291456,12.9378,349237720,6291456,1.3168,22609563, 104857600
dna.001.1,4,838861836,6291456,13.1881,244660264,6291456,0.6764,3657064, 104857600
dna.001.1,5,775947280,6291456,15.9038,209552622,6291456,0.6956,22584498, 104857600
dna.001.1,6,734004278,6291456,16.6294,188757594,6291456,0.5214,8537766, 104857600
dna.001.1,7,704044998,6291456,17.7161,174848253,6291456,0.5437,21879013, 104857600
dna.001.1,8,681575452,6291456,18.4583,165216952,6291456,0.4143,4400480, 104857600
dna.001.1,9,664099245,6291456,20.5639,159113302,6291456,0.5053,28953367, 104857600
dna.001.1,15,608175201,6291456,22.7542,151063232,6291456,0.5418,36699126, 104857600
dna.001.1,30,566232352,6291456,22.6817,137950498,6291456,0.4621,28082522, 104857600
dna.001.1,60,545261096,6291456,24.0773,133726924,6291456,0.3589,26186364, 104857600
dna.001.1-gcis-ef,-,4934240,6291456,14.1909,157005312,6291456,5.8253,4450733, 104857600
dna.001.1-gcis-s8b,-,5401088,6291456,14.0285,155376928,6291456,1.7765,3717627, 104857600
