file|coverage|substring_size|peak|stack|time
proteins.001.1-gcis-ef|1|-|5892296|6291456|0,0005
proteins.001.1|3|1|50119426|6291456|30,5490
proteins.001.1|4|1|220279818|6291456|6,1357
proteins.001.1|5|1|41101294|6291456|58,7462
proteins.001.1|6|1|67265346|6291456|19,5853
proteins.001.1|7|1|126359546|6291456|65,3305
proteins.001.1|8|1|189711662|6291456|7,9715
proteins.001.1|9|1|51177110|6291456|80,3808
proteins.001.1|15|1|26335970|6291456|95,7764
proteins.001.1|30|1|51869680|6291456|71,9563
proteins.001.1|60|1|21959404|6291456|86,4738
proteins.001.1-gcis-ef|10|-|5892296|6291456|0,0005
proteins.001.1|3|10|50423645|6291456|29,8051
proteins.001.1|4|10|220457185|6291456|6,4659
proteins.001.1|5|10|41303749|6291456|59,4383
proteins.001.1|6|10|67442417|6291456|19,1358
proteins.001.1|7|10|126494353|6291456|64,7160
proteins.001.1|8|10|189857825|6291456|8,5553
proteins.001.1|9|10|51309741|6291456|80,5957
proteins.001.1|15|10|26454881|6291456|94,4703
proteins.001.1|30|10|51967128|6291456|70,2957
proteins.001.1|60|10|22057700|6291456|84,0677
proteins.001.1-gcis-ef|100|-|5892296|6291456|0,0005
proteins.001.1|3|100|53089843|6291456|31,1142
proteins.001.1|4|100|222471139|6291456|6,1462
proteins.001.1|5|100|43037767|6291456|58,0708
proteins.001.1|6|100|69014087|6291456|19,5267
proteins.001.1|7|100|128100115|6291456|63,1108
proteins.001.1|8|100|191169663|6291456|7,7434
proteins.001.1|9|100|52642611|6291456|78,7437
proteins.001.1|15|100|27599647|6291456|91,5423
proteins.001.1|30|100|52978848|6291456|70,7176
proteins.001.1|60|100|23008940|6291456|83,8176
proteins.001.1-gcis-ef|1000|-|5892296|6291456|0,0005
proteins.001.1|3|1000|80394991|6291456|31,6053
proteins.001.1|4|1000|243877631|6291456|5,5536
proteins.001.1|5|1000|60924647|6291456|57,8284
proteins.001.1|6|1000|85085327|6291456|19,3171
proteins.001.1|7|1000|143093355|6291456|62,4424
proteins.001.1|8|1000|205186795|6291456|7,1253
proteins.001.1|9|1000|66542031|6291456|77,5767
proteins.001.1|15|1000|39188051|6291456|91,1831
proteins.001.1|30|1000|63315764|6291456|70,0299
proteins.001.1|60|1000|32632848|6291456|84,4134
proteins.001.1-gcis-ef|10000|-|5892296|6291456|0,0005
proteins.001.1|3|10000|349827439|6291456|30,2934
proteins.001.1|4|10000|454578575|6291456|6,6482
proteins.001.1|5|10000|240761887|6291456|58,3388
proteins.001.1|6|10000|247035507|6291456|19,2648
proteins.001.1|7|10000|
