file|coverage|substring_size|peak|stack|time
proteins.001.1-gcis-ef|-|1|6122436|6291456|0.0002
proteins.001.1|3|1|50132934|6291456|12.3881
proteins.001.1|4|1|220288954|6291456|2.1046
proteins.001.1|5|1|41110430|6291456|15.6776
proteins.001.1|6|1|67268262|6291456|6.1052
proteins.001.1|7|1|126357478|6291456|18.2032
proteins.001.1|8|1|189739522|6291456|2.6859
proteins.001.1|9|1|51186246|6291456|22.5158
proteins.001.1|15|1|26346070|6291456|21.2755
proteins.001.1|30|1|51878814|6291456|19.3692
proteins.001.1|60|1|21969514|6291456|24.1081
proteins.001.1-gcis-ef|-|10|6122436|6291456|0.0002
proteins.001.1|3|10|50410921|6291456|12.0893
proteins.001.1|4|10|220510009|6291456|2.0834
proteins.001.1|5|10|41278521|6291456|15.7058
proteins.001.1|6|10|67445333|6291456|6.0915
proteins.001.1|7|10|126514693|6291456|18.0818
proteins.001.1|8|10|189866961|6291456|2.6811
proteins.001.1|9|10|51322157|6291456|22.4604
proteins.001.1|15|10|26471729|6291456|21.4761
proteins.001.1|30|10|51983701|6291456|19.3848
proteins.001.1|60|10|22064385|6291456|24.4050
proteins.001.1-gcis-ef|-|100|6122436|6291456|0.0002
proteins.001.1|3|100|53094607|6291456|12.1387
proteins.001.1|4|100|222873467|6291456|2.0873
proteins.001.1|5|100|43025035|6291456|15.8723
proteins.001.1|6|100|69054323|6291456|6.0793
proteins.001.1|7|100|128098047|6291456|18.2273
proteins.001.1|8|100|191384763|6291456|2.6718
proteins.001.1|9|100|52694387|6291456|22.5402
proteins.001.1|15|100|27617459|6291456|21.4465
proteins.001.1|30|100|53002779|6291456|19.4078
proteins.001.1|60|100|23029443|6291456|24.1454
proteins.001.1-gcis-ef|-|1000|6122436|6291456|0.0002
proteins.001.1|3|1000|80412387|6291456|12.1035
proteins.001.1|4|1000|242707191|6291456|2.1200
proteins.001.1|5|1000|61108727|6291456|15.7889
proteins.001.1|6|1000|85436563|6291456|6.1892
proteins.001.1|7|1000|142956839|6291456|18.2071
proteins.001.1|8|1000|205046139|6291456|2.6963
proteins.001.1|9|1000|66321567|6291456|22.5921
proteins.001.1|15|1000|39134527|6291456|21.7608
proteins.001.1|30|1000|63279211|6291456|19.4755
proteins.001.1|60|1000|32636835|6291456|24.2351
proteins.001.1-gcis-ef|-|10000|6122436|6291456|0.0002
proteins.001.1|3|10000|350422907|6291456|12.5279
proteins.001.1|4|10000|452883879|6291456|2.3945
proteins.001.1|5|10000|240917851|6291456|16.3694
proteins.001.1|6|10000|247330763|6291456|6.5909
proteins.001.1|7|10000|293505459|6291456|18.4928
proteins.001.1|8|10000|345385975|6291456|2.8600
proteins.001.1|9|10000|201196087|6291456|23.4960
proteins.001.1|15|10000|154859507|6291456|21.8460
proteins.001.1|30|10000|165609532|6291456|20.1326
proteins.001.1|60|10000|128734244|6291456|25.7903
