file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
dblp.xml.0001.1|3|838861852|6291456|19,6799|296911332|6291456|0,9003|17290668|104857600
dblp.xml.0001.1|4|734004236|6291456|21,0282|210772880|6291456|0,6611|1057248|104857600
dblp.xml.0001.1|5|671089680|6291456|20,8639|208799314|6291456|0,6425|20054497|104857600
dblp.xml.0001.1|6|629146676|6291456|20,8967|181075974|6291456|0,5134|6310134|104857600
dblp.xml.0001.1|7|599187392|6291456|21,6019|185146408|6291456|0,5064|20369652|104857600
dblp.xml.0001.1|8|576717852|6291456|21,1789|158502260|6291456|0,3899|1215572|104857600
dblp.xml.0001.1|9|559241640|6291456|21,6291|176976532|6291456|0,4443|25514974|104857600
dblp.xml.0001.1|15|524288025|6291456|22,2706|157031296|6291456|0,3625|24211510|104857600
dblp.xml.0001.1|30|524288100|6291456|22,3852|137558266|6291456|0,3082|18718990|104857600
dblp.xml.0001.1|60|524288100|6291456|22,7876|129775616|6291456|0,3058|17924000|104857600
dblp.xml.0001.1-gcis-ef|-|996664|6291456|15,1243|162557832|6291456|5,0362|947960|104857600
dblp.xml.0001.1-gcis-s8b|-|1480376|6291456|14,5985|161621896|6291456|1,5211|878093|104857600
