file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
influenza|3|1238469484|6291456|16,4541|437622827|6291456|1,5588|24786827|154808555
influenza|4|1083660932|6291456|20,8808|335149044|6291456|1,2350|25523924|154808555
influenza|5|990775808|6291456|23,2700|304568071|6291456|1,2863|25905283|154808555
influenza|6|928852388|6291456|24,9180|284085868|6291456|0,9170|26064988|154808555
influenza|7|884621388|6291456|26,5535|270158146|6291456|0,7902|26886185|154808555
influenza|8|851448140|6291456|27,3681|261320516|6291456|0,7494|29101700|154808555
influenza|9|825646712|6291456|28,3656|254371212|6291456|0,7406|30751728|154808555
influenza|15|774042825|6291456|32,3857|233600240|6291456|0,7635|37505798|154808555
influenza|30|774042900|6291456|34,2237|225018350|6291456|0,6475|49557806|154808555
influenza|60|774042900|6291456|34,7757|243269888|6291456|0,5035|78138272|154808555
influenza-gcis-ef|-|9684224|6291456|20,4628|235154848|6291456|8,3139|8758648|154808555
influenza-gcis-s8b|-|9901072|6291456|19,9720|232434968|6291456|2,6526|7361187|154808555
