file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
proteins.001.1|3|838861852|6291456|18,8476|299737214|6291456|1,1467|20115806|104857600
proteins.001.1|4|734004236|6291456|19,4513|214473564|6291456|0,7301|4758028|104857600
proteins.001.1|5|671089680|6291456|20,9800|212294869|6291456|0,7295|23547754|104857600
proteins.001.1|6|629146676|6291456|21,1869|186877722|6291456|0,5799|12111882|104857600
proteins.001.1|7|599187392|6291456|21,9034|189859562|6291456|0,5664|25081093|104857600
proteins.001.1|8|576717852|6291456|21,6787|163257136|6291456|0,4601|5970496|104857600
proteins.001.1|9|559241640|6291456|22,3930|179622904|6291456|0,5121|28161298|104857600
proteins.001.1|15|524288025|6291456|22,7788|161242501|6291456|0,4791|28422382|104857600
proteins.001.1|30|524288100|6291456|22,7968|142281032|6291456|0,3850|23430488|104857600
proteins.001.1|60|524288100|6291456|22,9449|135658260|6291456|0,3137|23806644|104857600
proteins.001.1-gcis-ef|-|5561096|6291456|19,3408|184916344|6291456|6,9220|5103624|104857600
proteins.001.1-gcis-s8b|-|4907816|6291456|19,2247|184630816|6291456|2,2575|4329053|104857600
