file|coverage|peak|stack|time|substring_size
proteins.001.1-gcis-ef|-|5892296|6291456|0,0005|1
proteins.001.1|3|20121976|6291456|0,1819|1
proteins.001.1|4|4791134|6291456|0,5697|1
proteins.001.1|5|23552996|6291456|0,1518|1
proteins.001.1|6|12122492|6291456|0,2087|1
proteins.001.1|7|25100543|6291456|0,4229|1
proteins.001.1|8|6003506|6291456|0,4323|1
proteins.001.1|9|28167324|6291456|0,1215|1
proteins.001.1|15|28424328|6291456|0,0351|1
proteins.001.1|30|23437834|6291456|0,0788|1
proteins.001.1|60|23807222|6291456|0,0085|1
proteins.001.1-gcis-ef|-|5892296|6291456|0,0005|10
proteins.001.1|3|20127817|6291456|0,1809|10
proteins.001.1|4|4823911|6291456|0,5598|10
proteins.001.1|5|23558005|6291456|0,1441|10
proteins.001.1|6|12132869|6291456|0,2061|10
proteins.001.1|7|25119760|6291456|0,4086|10
proteins.001.1|8|6036283|6291456|0,4246|10
proteins.001.1|9|28173165|6291456|0,1188|10
proteins.001.1|15|28426137|6291456|0,0358|10
proteins.001.1|30|23445043|6291456|0,0802|10
proteins.001.1|60|23807711|6291456|0,0087|10
proteins.001.1-gcis-ef|-|5892296|6291456|0,0005|100
proteins.001.1|3|20127907|6291456|0,1859|100
proteins.001.1|4|4824001|6291456|0,5777|100
proteins.001.1|5|23558095|6291456|0,1575|100
proteins.001.1|6|12132959|6291456|0,2297|100
proteins.001.1|7|25119850|6291456|0,4174|100
proteins.001.1|8|6036373|6291456|0,4320|100
proteins.001.1|9|28173255|6291456|0,1272|100
proteins.001.1|15|28426227|6291456|0,0418|100
proteins.001.1|30|23445133|6291456|0,0837|100
proteins.001.1|60|23807801|6291456|0,0117|100
proteins.001.1-gcis-ef|-|5892296|6291456|0,0005|1000
proteins.001.1|3|20128807|6291456|0,2654|1000
proteins.001.1|4|4824901|6291456|0,6327|1000
proteins.001.1|5|23558995|6291456|0,2251|1000
proteins.001.1|6|12133859|6291456|0,2966|1000
proteins.001.1|7|25120750|6291456|0,5048|1000
proteins.001.1|8|6037273|6291456|0,4898|1000
proteins.001.1|9|28174155|6291456|0,1892|1000
proteins.001.1|15|28427127|6291456|0,0984|1000
proteins.001.1|30|23446033|6291456|0,1259|1000
proteins.001.1|60|23808701|6291456|0,0381|1000
proteins.001.1-gcis-ef|-|5892296|6291456|0,0005|10000
proteins.001.1|3|20161135|6291456|1,1591|10000
proteins.001.1|4|4833901|6291456|1,1674|10000
proteins.001.1|5|23582995|6291456|0,9098|10000
proteins.001.1|6|12153227|6291456|0,8279|10000
proteins.001.1|7|25129750|6291456|1,0696|10000
proteins.001.1|8|6046273|6291456|0,9099|10000
proteins.001.1|9|28188987|6291456|0,7735|10000
proteins.001.1|15|28439727|6291456|0,7605|10000
proteins.001.1|30|23455033|6291456|0,5575|10000
proteins.001.1|60|23818661|6291456|0,3595|10000
