file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
sources.001.2|3|838861852|6291456|19,3294|323448658|6291456|1,1917|43827202|104857600
sources.001.2|4|734004236|6291456|18,2439|214480476|6291456|0,6986|4764940|104857600
sources.001.2|5|671089680|6291456|19,6863|234918665|6291456|0,8175|46171550|104857600
sources.001.2|6|629146676|6291456|19,8485|200849810|6291456|0,6435|26083970|104857600
sources.001.2|7|601274057|6291456|21,0140|214489326|6291456|0,6626|49710905|104857600
sources.001.2|8|576717852|6291456|20,8312|162919080|6291456|0,4836|5632440|104857600
sources.001.2|9|566613418|6291456|21,9442|197883480|6291456|0,7228|46421874|104857600
sources.001.2|15|526027223|6291456|21,9967|180794743|6291456|0,7760|47927551|104857600
sources.001.2|30|524288100|6291456|22,4411|174727506|6291456|0,5276|55876962|104857600
sources.001.2|60|524288100|6291456|22,6515|184882740|6291456|0,3671|73031124|104857600
sources.001.2-gcis-ef|-|5503808|6291456|15,9575|179828816|6291456|6,4824|4944584|104857600
sources.001.2-gcis-s8b|-|6238248|6291456|15,6748|175676328|6291456|2,4631|4299635|104857600
