file|coverage|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
dna.001.1|3|838861852|6291456|11,000000000000000|302230923|6291456|0,000000000000000|22609563| 104857600
dna.001.1|4|734004236|6291456|12,000000000000000|213372600|6291456|0,000000000000000|3657064| 104857600
dna.001.1|5|671089680|6291456|15,000000000000000|211329315|6291456|0,000000000000000|22584498| 104857600
dna.001.1|6|629146676|6291456|16,000000000000000|183303606|6291456|0,000000000000000|8537766| 104857600
dna.001.1|7|599187392|6291456|17,000000000000000|186657434|6291456|0,000000000000000|21879013| 104857600
dna.001.1|8|576717852|6291456|18,000000000000000|161687120|6291456|0,000000000000000|4400480| 104857600
dna.001.1|9|559241640|6291456|19,000000000000000|180414925|6291456|0,000000000000000|28953367| 104857600
dna.001.1|15|524288025|6291456|21,000000000000000|169519245|6291456|0,000000000000000|36699126| 104857600
dna.001.1|30|524288100|6291456|22,000000000000000|146921798|6291456|0,000000000000000|28082522| 104857600
dna.001.1|60|524288100|6291456|22,000000000000000|138037980|6291456|0,000000000000000|26186364| 104857600
dna.001.1-gcis-ef|-|4934240|6291456|14,0000|157005312|6291456|5,0000|4450733| 104857600
dna.001.1-gcis-s8b|-|5401088|6291456|13,0000|155376928|6291456|1,0000|3717627| 104857600
