file|coverage|peak|stack|time|substring_size
influenza-gcis-ef|-|9542624|6291456|0,1338|1
influenza|3|25187213|6291456|0,011623172000000|1
influenza|4|25924214|6291456|0,008676147000000|1
influenza|5|26305573|6291456|0,007137189000000|1
influenza|6|26465230|6291456|0,005743331000000|1
influenza|7|27286427|6291456|0,006134548000000|1
influenza|8|29501894|6291456|0,005299730000000|1
influenza|9|31151922|6291456|0,006052858000000|1
influenza|11|36310171|6291456|0,006238692000000|1
influenza|15|37905992|6291456|0,007048095000000|1
influenza|30|49957952|6291456|0,007998127000000|1
influenza|60|78538370|6291456|0,007053066000000|1
influenza-gcis-ef|-|9542624|6291456|0,2039|10
influenza|3|25187222|6291456|0,014394865000000|10
influenza|4|25924223|6291456|0,013964751000000|10
influenza|5|26305582|6291456|0,011169442000000|10
influenza|6|26465239|6291456|0,009887338000000|10
influenza|7|27286436|6291456|0,010070505000000|10
influenza|8|29501903|6291456|0,008887534000000|10
influenza|9|31151931|6291456|0,008643964000000|10
influenza|11|36310180|6291456|0,008607037000000|10
influenza|15|37906001|6291456|0,008674780000000|10
influenza|30|49957961|6291456|0,008415131000000|10
influenza|60|78538379|6291456|0,007414314000000|10
influenza-gcis-ef|-|9542624|6291456|0,7143|100
influenza|3|25187312|6291456|0,050308828000000|100
influenza|4|25924313|6291456|0,034931227000000|100
influenza|5|26305672|6291456|0,039047727000000|100
influenza|6|26465329|6291456|0,030189789000000|100
influenza|7|27286526|6291456|0,028839403000000|100
influenza|8|29501993|6291456|0,023581795000000|100
influenza|9|31152021|6291456|0,031831589000000|100
influenza|11|36310270|6291456|0,027397157000000|100
influenza|15|37906091|6291456|0,021078907000000|100
influenza|30|49958051|6291456|0,013188335000000|100
influenza|60|78538469|6291456|0,009577156000000|100
influenza-gcis-ef|-|9542624|6291456|5,6827|1000
influenza|3|25188212|6291456|0,247298474000000|1000
influenza|4|25925213|6291456|0,162100107000000|1000
influenza|5|26306572|6291456|0,198871563000000|1000
influenza|6|26466229|6291456|0,148320856000000|1000
influenza|7|27287426|6291456|0,134297301000000|1000
influenza|8|29502893|6291456|0,092581166000000|1000
influenza|9|31152921|6291456|0,134758761000000|1000
influenza|11|36311170|6291456|0,181076502000000|1000
influenza|15|37906991|6291456|0,136899420000000|1000
influenza|30|49958951|6291456|0,060017012000000|1000
influenza|60|78539369|6291456|0,033186034000000|1000
influenza-gcis-ef|-|9542624|6291456|51,3922|10000
influenza|3|25197212|6291456|1,055394318000000|10000
influenza|4|25934213|6291456|0,802104809000000|10000
influenza|5|26315572|6291456|0,928358989000000|10000
influenza|6|26475229|6291456|0,680632113000000|10000
influenza|7|27296426|6291456|0,635098529000000|10000
influenza|8|29511893|6291456|0,480800710000000|10000
influenza|9|31161921|6291456|0,557764844000000|10000
influenza|11|36320170|6291456|0,623367795000000|10000
influenza|15|37915991|6291456|0,756566005000000|10000
influenza|30|49967951|6291456|0,440338966000000|10000
influenza|60|78548369|6291456|0,264687991000000|10000
