file|algorithm|peak|stack|time|substring_size
sources.001.2|GCIS-ef|1
sources.001.2|DC32|28716934|6291456|0.002755432000000|1
sources.001.2|DC64|36744234|6291456|0.002765056000000|1
sources.001.2|DC128|97135570|6291456|0.002768461000000|1
sources.001.2|GCIS-ef|10
sources.001.2|DC32|28716943|6291456|0.003193235000000|10
sources.001.2|DC64|36744243|6291456|0.003248257000000|10
sources.001.2|DC128|97135579|6291456|0.002940436000000|10
sources.001.2|GCIS-ef|100
sources.001.2|DC32|28717033|6291456|0.007333781000000|100
sources.001.2|DC64|36744333|6291456|0.007200829000000|100
sources.001.2|DC128|97135669|6291456|0.004657396000000|100
sources.001.2|GCIS-ef|1000
sources.001.2|DC32|28717933|6291456|0.025785943000000|1000
sources.001.2|DC64|36745233|6291456|0.028142505000000|1000
sources.001.2|DC128|97136569|6291456|0.021310777000000|1000
sources.001.2|GCIS-ef|10000
sources.001.2|DC32|10000
sources.001.2|DC64|10000
sources.001.2|DC128|10000
