file|algorithm|peak|stack|time|substring_size
influenza|GCIS-ef|9821604|6291456|0.0576|1
influenza|DC32|35088902|6291456|0.003374583000000|1
influenza|GCIS-ef|9821604|6291456|0.0860|10
influenza|DC32|35088911|6291456|0.003875469000000|10
influenza|GCIS-ef|9821604|6291456|0.3429|100
influenza|DC32|35089001|6291456|0.007704661000000|100
influenza|GCIS-ef|9821604|6291456|2.8696|1000
influenza|DC32|35089901|6291456|0.033014177000000|1000
influenza|GCIS-ef|9821604|6291456|26.5262|10000
influenza|DC32|10000
