file|algorithm|peak|stack|time|substring_size
cere|GCIS-ef|21642808|6291456|0.0836|1
cere|DC3|136825840|6291456|0.005409767000000|1
cere|DC4|155924418|6291456|0.004510318000000|1
cere|DC5|140801131|6291456|0.004178175000000|1
cere|DC6|126065120|6291456|0.003843042000000|1
cere|DC7|123278367|6291456|0.003966827000000|1
cere|DC8|122054226|6291456|0.003526502000000|1
cere|DC9|123161638|6291456|0.003796226000000|1
cere|DC11|150336302|6291456|0.004004162000000|1
cere|DC15|261086215|6291456|0.004118151000000|1
cere|DC30|315202824|6291456|0.004020032000000|1
cere|DC32|318365682|6291456|0.003971093000000|1
cere|DC60|367727726|6291456|0.004983242000000|1
cere|DC64|370861026|6291456|0.005424041000000|1
cere|GCIS-ef|21642808|6291456|0.1112|10
cere|DC3|136825849|6291456|0.009051794000000|10
cere|DC4|155924427|6291456|0.008407458000000|10
cere|DC5|140801140|6291456|0.007167813000000|10
cere|DC6|126065129|6291456|0.006370996000000|10
cere|DC7|123278376|6291456|0.007163922000000|10
cere|DC8|122054235|6291456|0.006371246000000|10
cere|DC9|123161647|6291456|0.006204390000000|10
cere|DC11|150336311|6291456|0.005620098000000|10
cere|DC15|261086224|6291456|0.004606383000000|10
cere|DC30|315202833|6291456|0.004364893000000|10
cere|DC32|318365691|6291456|0.004095857000000|10
cere|DC60|367727735|6291456|0.005049554000000|10
cere|DC64|370861035|6291456|0.005152339000000|10
cere|GCIS-ef|21642808|6291456|0.3585|100
cere|DC3|136825939|6291456|0.031452558000000|100
cere|DC4|155924517|6291456|0.025260551000000|100
cere|DC5|140801230|6291456|0.023592201000000|100
cere|DC6|126065219|6291456|0.018794322000000|100
cere|DC7|123278466|6291456|0.018124417000000|100
cere|DC8|122054325|6291456|0.014885600000000|100
cere|DC9|123161737|6291456|0.031441737000000|100
cere|DC11|150336401|6291456|0.017613182000000|100
cere|DC15|261086314|6291456|0.011172114000000|100
cere|DC30|315202923|6291456|0.007539164000000|100
cere|DC32|318365781|6291456|0.006898896000000|100
cere|DC60|367727825|6291456|0.007159971000000|100
cere|DC64|370861125|6291456|0.007245874000000|100
cere|GCIS-ef|21642808|6291456|2.9448|1000
cere|DC3|136826839|6291456|0.175481739000000|1000
cere|DC4|155925417|6291456|0.145452599000000|1000
cere|DC5|140802130|6291456|0.134270025000000|1000
cere|DC6|126066119|6291456|0.103495473000000|1000
cere|DC7|123279366|6291456|0.101922890000000|1000
cere|DC8|122055225|6291456|0.072925723000000|1000
cere|DC9|123162637|6291456|0.104848140000000|1000
cere|DC11|150337301|6291456|0.127280960000000|1000
cere|DC15|261087214|6291456|0.068625942000000|1000
cere|DC30|315203823|6291456|0.034813008000000|1000
cere|DC32|318366681|6291456|0.033408043000000|1000
cere|DC60|367728725|6291456|0.026065965000000|1000
cere|DC64|370862025|6291456|0.022340252000000|1000
cere|GCIS-ef|10000
cere|DC3|136835839|6291456|0.926635653000000|10000
cere|DC4|155934417|6291456|0.850604282000000|10000
cere|DC5|140811130|6291456|0.800378308000000|10000
cere|DC6|126075119|6291456|0.580073296000000|10000
cere|DC7|123288366|6291456|0.574007885000000|10000
cere|DC8|122064225|6291456|0.396633767000000|10000
cere|DC9|123171637|6291456|0.502651027000000|10000
cere|DC11|150346301|6291456|1.129632592000000|10000
cere|DC15|261096214|6291456|0.572204484000000|10000
cere|DC30|315212823|6291456|0.304375481000000|10000
cere|DC32|318375681|6291456|0.272382798000000|10000
cere|DC60|367737725|6291456|0.206204922000000|10000
cere|DC64|370871025|6291456|0.175327163000000|10000
