file|algorithm|peak|stack|time|substring_size
coreutils|GCIS-ef|13272564|6291456|0.0620|1
coreutils|DC3|86272539|6291456|0.005754271000000|1
coreutils|DC4|89673422|6291456|0.004353456000000|1
coreutils|DC5|86740748|6291456|0.004272117000000|1
coreutils|DC6|85666964|6291456|0.003954171000000|1
coreutils|DC7|86557387|6291456|0.003751300000000|1
coreutils|DC8|89202434|6291456|0.003812105000000|1
coreutils|DC9|91475209|6291456|0.003984546000000|1
coreutils|DC11|96513970|6291456|0.003753542000000|1
coreutils|DC15|106001085|6291456|0.003842163000000|1
coreutils|DC30|130980280|6291456|0.003909367000000|1
coreutils|DC32|133341810|6291456|0.003830708000000|1
coreutils|DC60|158406382|6291456|0.004900239000000|1
coreutils|DC64|159368490|6291456|0.004903010000000|1
coreutils|GCIS-ef|13272564|6291456|0.0923|10
coreutils|DC3|86272548|6291456|0.009889672000000|10
coreutils|DC4|89673431|6291456|0.007687260000000|10
coreutils|DC5|86740757|6291456|0.007011506000000|10
coreutils|DC6|85666973|6291456|0.006399923000000|10
coreutils|DC7|86557396|6291456|0.006080619000000|10
coreutils|DC8|89202443|6291456|0.005715472000000|10
coreutils|DC9|91475218|6291456|0.005080642000000|10
coreutils|DC11|96513979|6291456|0.004401410000000|10
coreutils|DC15|106001094|6291456|0.004405814000000|10
coreutils|DC30|130980289|6291456|0.004029516000000|10
coreutils|DC32|133341819|6291456|0.004049437000000|10
coreutils|DC60|158406391|6291456|0.005285988000000|10
coreutils|DC64|159368499|6291456|0.004813138000000|10
coreutils|GCIS-ef|13272564|6291456|0.3618|100
coreutils|DC3|86272638|6291456|0.037378682000000|100
coreutils|DC4|89673521|6291456|0.027565117000000|100
coreutils|DC5|86740847|6291456|0.026565634000000|100
coreutils|DC6|85667063|6291456|0.022787532000000|100
coreutils|DC7|86557486|6291456|0.019826588000000|100
coreutils|DC8|89202533|6291456|0.016712857000000|100
coreutils|DC9|91475308|6291456|0.014995097000000|100
coreutils|DC11|96514069|6291456|0.011638107000000|100
coreutils|DC15|106001184|6291456|0.010495142000000|100
coreutils|DC30|130980379|6291456|0.007726077000000|100
coreutils|DC32|133341909|6291456|0.007087108000000|100
coreutils|DC60|158406481|6291456|0.006861753000000|100
coreutils|DC64|159368589|6291456|0.006615440000000|100
coreutils|GCIS-ef|13272564|6291456|2.8059|1000
coreutils|DC3|86273538|6291456|0.222961813000000|1000
coreutils|DC4|89674421|6291456|0.146711284000000|1000
coreutils|DC5|86741747|6291456|0.147250986000000|1000
coreutils|DC6|85667963|6291456|0.146730351000000|1000
coreutils|DC7|86558386|6291456|0.121427569000000|1000
coreutils|DC8|89203433|6291456|0.103805725000000|1000
coreutils|DC9|91476208|6291456|0.094964337000000|1000
coreutils|DC11|96514969|6291456|0.068708106000000|1000
coreutils|DC15|106002084|6291456|0.061375795000000|1000
coreutils|DC30|130981279|6291456|0.036206461000000|1000
coreutils|DC32|133342809|6291456|0.033516861000000|1000
coreutils|DC60|158407381|6291456|0.026684351000000|1000
coreutils|DC64|159369489|6291456|0.026833692000000|1000
coreutils|GCIS-ef|13272564|6291456|26.0585|10000
coreutils|DC3|86282538|6291456|1.281746094000000|10000
coreutils|DC4|89683421|6291456|0.723627687000000|10000
coreutils|DC5|86750747|6291456|0.719182744000000|10000
coreutils|DC6|85676963|6291456|0.889457885000000|10000
coreutils|DC7|86567386|6291456|0.593423557000000|10000
coreutils|DC8|89212433|6291456|0.643286413000000|10000
coreutils|DC9|91485208|6291456|0.655926441000000|10000
coreutils|DC11|96523969|6291456|0.379662966000000|10000
coreutils|DC15|106011084|6291456|0.424945017000000|10000
coreutils|DC30|130990279|6291456|0.274949575000000|10000
coreutils|DC32|133351809|6291456|0.259261459000000|10000
coreutils|DC60|158416381|6291456|0.202323834000000|10000
coreutils|DC64|159378489|6291456|0.212716043000000|10000
