file|algorithm|peak|stack|time|substring_size
dblp.xml.0001.2|GCIS-ef|1913608|6291456|0.0492|1
dblp.xml.0001.2|DC3|21394788|6291456|0.002562345000000|1
dblp.xml.0001.2|DC4|1673802|6291456|0.002512796000000|1
dblp.xml.0001.2|DC5|23515375|6291456|0.002521417000000|1
dblp.xml.0001.2|DC6|10528170|6291456|0.001949428000000|1
dblp.xml.0001.2|DC7|25537501|6291456|0.002442869000000|1
dblp.xml.0001.2|DC8|1831950|6291456|0.002194335000000|1
dblp.xml.0001.2|DC9|31378085|6291456|0.002419227000000|1
dblp.xml.0001.2|DC11|30589882|6291456|0.002518414000000|1
dblp.xml.0001.2|DC15|26592823|6291456|0.002075266000000|1
dblp.xml.0001.2|DC30|22996708|6291456|0.002564436000000|1
dblp.xml.0001.2|DC32|2652142|6291456|0.003050206000000|1
dblp.xml.0001.2|DC60|25879362|6291456|0.002991169000000|1
dblp.xml.0001.2|DC64|3435578|6291456|0.003443343000000|1
dblp.xml.0001.2|GCIS-ef|1913608|6291456|0.0748|10
dblp.xml.0001.2|DC3|21394797|6291456|0.004197865000000|10
dblp.xml.0001.2|DC4|1673811|6291456|0.004688703000000|10
dblp.xml.0001.2|DC5|23515384|6291456|0.004174885000000|10
dblp.xml.0001.2|DC6|10528179|6291456|0.003451832000000|10
dblp.xml.0001.2|DC7|25537510|6291456|0.003523042000000|10
dblp.xml.0001.2|DC8|1831959|6291456|0.003319815000000|10
dblp.xml.0001.2|DC9|31378094|6291456|0.003513721000000|10
dblp.xml.0001.2|DC11|30589891|6291456|0.003478894000000|10
dblp.xml.0001.2|DC15|26592832|6291456|0.002305348000000|10
dblp.xml.0001.2|DC30|22996717|6291456|0.002458951000000|10
dblp.xml.0001.2|DC32|2652151|6291456|0.003610346000000|10
dblp.xml.0001.2|DC60|25879371|6291456|0.002972886000000|10
dblp.xml.0001.2|DC64|3435587|6291456|0.003948501000000|10
dblp.xml.0001.2|GCIS-ef|1913608|6291456|0.3227|100
dblp.xml.0001.2|DC3|21394887|6291456|0.010195848000000|100
dblp.xml.0001.2|DC4|1673901|6291456|0.018891774000000|100
dblp.xml.0001.2|DC5|23515474|6291456|0.010193046000000|100
dblp.xml.0001.2|DC6|10528269|6291456|0.009073843000000|100
dblp.xml.0001.2|DC7|25537600|6291456|0.007459335000000|100
dblp.xml.0001.2|DC8|1832049|6291456|0.009070721000000|100
dblp.xml.0001.2|DC9|31378184|6291456|0.009363053000000|100
dblp.xml.0001.2|DC11|30589981|6291456|0.009699013000000|100
dblp.xml.0001.2|DC15|26592922|6291456|0.003917784000000|100
dblp.xml.0001.2|DC30|22996807|6291456|0.004123716000000|100
dblp.xml.0001.2|DC32|2652241|6291456|0.006052426000000|100
dblp.xml.0001.2|DC60|25879461|6291456|0.004581275000000|100
dblp.xml.0001.2|DC64|3435677|6291456|0.005543643000000|100
dblp.xml.0001.2|GCIS-ef|1913608|6291456|2.7141|1000
dblp.xml.0001.2|DC3|21395787|6291456|0.046120676000000|1000
dblp.xml.0001.2|DC4|1674801|6291456|0.127420710000000|1000
dblp.xml.0001.2|DC5|23516374|6291456|0.038888144000000|1000
dblp.xml.0001.2|DC6|10529169|6291456|0.033110311000000|1000
dblp.xml.0001.2|DC7|25538500|6291456|0.030920427000000|1000
dblp.xml.0001.2|DC8|1832949|6291456|0.053473023000000|1000
dblp.xml.0001.2|DC9|31379084|6291456|0.029364369000000|1000
dblp.xml.0001.2|DC11|30590881|6291456|0.027517607000000|1000
dblp.xml.0001.2|DC15|26593822|6291456|0.019764464000000|1000
dblp.xml.0001.2|DC30|22997707|6291456|0.018732157000000|1000
dblp.xml.0001.2|DC32|2653141|6291456|0.024703174000000|1000
dblp.xml.0001.2|DC60|25880361|6291456|0.017615496000000|1000
dblp.xml.0001.2|DC64|3436577|6291456|0.019321321000000|1000
dblp.xml.0001.2|GCIS-ef|1913608|6291456|26.7418|10000
dblp.xml.0001.2|DC3|21404787|6291456|0.356831874000000|10000
dblp.xml.0001.2|DC4|1683801|6291456|0.834511868000000|10000
dblp.xml.0001.2|DC5|23525374|6291456|0.290871187000000|10000
dblp.xml.0001.2|DC6|10538169|6291456|0.212809616000000|10000
dblp.xml.0001.2|DC7|25547500|6291456|0.248318658000000|10000
dblp.xml.0001.2|DC8|1841949|6291456|0.365729018000000|10000
dblp.xml.0001.2|DC9|31388084|6291456|0.218336538000000|10000
dblp.xml.0001.2|DC11|30599881|6291456|0.187383219000000|10000
dblp.xml.0001.2|DC15|26602822|6291456|0.165394999000000|10000
dblp.xml.0001.2|DC30|23006707|6291456|0.149206872000000|10000
dblp.xml.0001.2|DC32|2662141|6291456|0.175531159000000|10000
dblp.xml.0001.2|DC60|25889361|6291456|0.146627121000000|10000
dblp.xml.0001.2|DC64|3445577|6291456|0.113464306000000|10000
