file|algorithm|peak|stack|time|substring_size
dickens|GCIS-ef|8011408|6291456|0.0401|1
dickens|DC3|9278316|6291456|0.002061835000000|1
dickens|DC4|8351034|6291456|0.001873154000000|1
dickens|DC5|7514740|6291456|0.001930298000000|1
dickens|DC6|7609216|6291456|0.001646511000000|1
dickens|DC7|8210231|6291456|0.001768808000000|1
dickens|DC8|9361330|6291456|0.001652429000000|1
dickens|DC9|10359077|6291456|0.001597138000000|1
dickens|DC11|11796195|6291456|0.001596927000000|1
dickens|DC15|12420426|6291456|0.002042664000000|1
dickens|DC30|11662336|6291456|0.001599300000000|1
dickens|DC32|11598102|6291456|0.001514776000000|1
dickens|DC60|11214146|6291456|0.002252465000000|1
dickens|DC64|11181942|6291456|0.002270755000000|1
dickens|GCIS-ef|8011408|6291456|0.0685|10
dickens|DC3|9278325|6291456|0.004110690000000|10
dickens|DC4|8351043|6291456|0.003872239000000|10
dickens|DC5|7514749|6291456|0.003337035000000|10
dickens|DC6|7609225|6291456|0.002833215000000|10
dickens|DC7|8210240|6291456|0.002536106000000|10
dickens|DC8|9361339|6291456|0.002020494000000|10
dickens|DC9|10359086|6291456|0.002204591000000|10
dickens|DC11|11796204|6291456|0.001939479000000|10
dickens|DC15|12420435|6291456|0.002364046000000|10
dickens|DC30|11662345|6291456|0.001889904000000|10
dickens|DC32|11598111|6291456|0.001871366000000|10
dickens|DC60|11214155|6291456|0.002289333000000|10
dickens|DC64|11181951|6291456|0.002458624000000|10
dickens|GCIS-ef|8011408|6291456|0.3423|100
dickens|DC3|9278415|6291456|0.012696859000000|100
dickens|DC4|8351133|6291456|0.010967319000000|100
dickens|DC5|7514839|6291456|0.010614510000000|100
dickens|DC6|7609315|6291456|0.007815927000000|100
dickens|DC7|8210330|6291456|0.006444748000000|100
dickens|DC8|9361429|6291456|0.004992498000000|100
dickens|DC9|10359176|6291456|0.005076354000000|100
dickens|DC11|11796294|6291456|0.004536629000000|100
dickens|DC15|12420525|6291456|0.004663994000000|100
dickens|DC30|11662435|6291456|0.003009614000000|100
dickens|DC32|11598201|6291456|0.003084583000000|100
dickens|DC60|11214245|6291456|0.003582782000000|100
dickens|DC64|11182041|6291456|0.003574166000000|100
dickens|GCIS-ef|8011408|6291456|2.9905|1000
dickens|DC3|9279315|6291456|0.049102564000000|1000
dickens|DC4|8352033|6291456|0.043041984000000|1000
dickens|DC5|7515739|6291456|0.050883754000000|1000
dickens|DC6|7610215|6291456|0.031919599000000|1000
dickens|DC7|8211230|6291456|0.029287336000000|1000
dickens|DC8|9362329|6291456|0.021191101000000|1000
dickens|DC9|10360076|6291456|0.021141852000000|1000
dickens|DC11|11797194|6291456|0.019450156000000|1000
dickens|DC15|12421425|6291456|0.020816478000000|1000
dickens|DC30|11663335|6291456|0.015421418000000|1000
dickens|DC32|11599101|6291456|0.014945846000000|1000
dickens|DC60|11215145|6291456|0.013173848000000|1000
dickens|DC64|11182941|6291456|0.013665366000000|1000
dickens|GCIS-ef|8011408|6291456|27.9913|10000
dickens|DC3|9288315|6291456|0.322711279000000|10000
dickens|DC4|8361033|6291456|0.269579620000000|10000
dickens|DC5|7524739|6291456|0.257742300000000|10000
dickens|DC6|7619215|6291456|0.216697384000000|10000
dickens|DC7|8220230|6291456|0.197462857000000|10000
dickens|DC8|9371329|6291456|0.180375044000000|10000
dickens|DC9|10369076|6291456|0.165785143000000|10000
dickens|DC11|11806194|6291456|0.150977004000000|10000
dickens|DC15|12430425|6291456|0.156020636000000|10000
dickens|DC30|11672335|6291456|0.114485519000000|10000
dickens|DC32|11608101|6291456|0.120550881000000|10000
dickens|DC60|11224145|6291456|0.104368492000000|10000
dickens|DC64|11191941|6291456|0.105690083000000|10000
