file|algorithm|peak|stack|time|substring_size
english.001.2|GCIS-ef|6122736|6291456|0.0553|1
english.001.2|DC8|22124418|6291456|0.001119908000000|1
english.001.2|DC16|26409444|6291456|0.001770068000000|1
english.001.2|DC32|50001265|6291456|0.002700292000000|1
english.001.2|DC64|79429843|6291456|0.002921454000000|1
english.001.2|DC128|108799999|6291456|0.003402501000000|1
english.001.2|GCIS-ef|6122736|6291456|0.0850|10
english.001.2|DC8|22124427|6291456|0.001440750000000|10
english.001.2|DC16|26409453|6291456|0.002075814000000|10
english.001.2|DC32|50001274|6291456|0.002866651000000|10
english.001.2|DC64|79429852|6291456|0.003023190000000|10
english.001.2|DC128|108800008|6291456|0.003370036000000|10
english.001.2|GCIS-ef|6122736|6291456|0.3410|100
english.001.2|DC8|22124517|6291456|0.004050223000000|100
english.001.2|DC16|26409543|6291456|0.004826689000000|100
english.001.2|DC32|50001364|6291456|0.006933125000000|100
english.001.2|DC64|79429942|6291456|0.006100405000000|100
english.001.2|DC128|108800098|6291456|0.005605716000000|100
english.001.2|GCIS-ef|6122736|6291456|2.9670|1000
english.001.2|DC8|22125417|6291456|0.028052474000000|1000
english.001.2|DC16|26410443|6291456|0.030274820000000|1000
english.001.2|DC32|50002264|6291456|0.043406153000000|1000
english.001.2|DC64|79430842|6291456|0.034334713000000|1000
english.001.2|DC128|108800998|6291456|0.021642183000000|1000
english.001.2|GCIS-ef|6122736|6291456|28.3696|10000
english.001.2|DC8|22134417|6291456|0.244139465000000|10000
english.001.2|DC16|26419443|6291456|0.271766264000000|10000
english.001.2|DC32|50011264|6291456|0.393873882000000|10000
english.001.2|DC64|79439842|6291456|0.306648825000000|10000
english.001.2|DC128|108809998|6291456|0.209382138000000|10000
