file|algorithm|peak|stack|time|substring_size
emacs|GCIS-ef|1
emacs|DC8|33826238|6291456|0.001868975000000|1
emacs|DC16|33966766|6291456|0.002088745000000|1
emacs|DC32|36184078|6291456|0.002202151000000|1
emacs|DC64|33966766|6291456|0.002066110000000|1
emacs|DC128|33966766|6291456|0.002049290000000|1
emacs|GCIS-ef|10
emacs|DC8|33826247|6291456|0.002388742000000|10
emacs|DC16|33966775|6291456|0.002511430000000|10
emacs|DC32|36184087|6291456|0.002754462000000|10
emacs|DC64|33966775|6291456|0.002400102000000|10
emacs|DC128|33966775|6291456|0.002580275000000|10
emacs|GCIS-ef|100
emacs|DC8|33826337|6291456|0.006490477000000|100
emacs|DC16|33966865|6291456|0.005886778000000|100
emacs|DC32|36184177|6291456|0.006616337000000|100
emacs|DC64|33966865|6291456|0.005937661000000|100
emacs|DC128|33966865|6291456|0.005916524000000|100
emacs|GCIS-ef|1000
emacs|DC8|33827237|6291456|0.040860973000000|1000
emacs|DC16|33967765|6291456|0.038283586000000|1000
emacs|DC32|36185077|6291456|0.039836183000000|1000
emacs|DC64|33967765|6291456|0.038192139000000|1000
emacs|DC128|33967765|6291456|0.038341952000000|1000
emacs|GCIS-ef|10000
emacs|DC8|33836237|6291456|0.352591378000000|10000
emacs|DC16|33976765|6291456|0.335320831000000|10000
emacs|DC32|36194077|6291456|0.335018918000000|10000
emacs|DC64|33976765|6291456|0.335146072000000|10000
emacs|DC128|33976765|6291456|0.335894385000000|10000
