file|algorithm|peak|stack|time|substring_size
jdk13c|GCIS-ef|1
jdk13c|DC8|23477103|6291456|0.001670320000000|1
jdk13c|DC16|24286734|6291456|0.001789322000000|1
jdk13c|DC32|27582966|6291456|0.002111092000000|1
jdk13c|DC64|32033914|6291456|0.002341792000000|1
jdk13c|DC128|35405016|6291456|0.002501624000000|1
jdk13c|GCIS-ef|10
jdk13c|DC8|23477112|6291456|0.002605721000000|10
jdk13c|DC16|24286743|6291456|0.002141030000000|10
jdk13c|DC32|27582975|6291456|0.002259447000000|10
jdk13c|DC64|32033923|6291456|0.002658156000000|10
jdk13c|DC128|35405025|6291456|0.002689711000000|10
jdk13c|GCIS-ef|100
jdk13c|DC8|23477202|6291456|0.006462905000000|100
jdk13c|DC16|24286833|6291456|0.004332310000000|100
jdk13c|DC32|27583065|6291456|0.004236438000000|100
jdk13c|DC64|32034013|6291456|0.004922709000000|100
jdk13c|DC128|35405115|6291456|0.004811327000000|100
jdk13c|GCIS-ef|1000
jdk13c|DC8|23478102|6291456|0.029909224000000|1000
jdk13c|DC16|24287733|6291456|0.024977376000000|1000
jdk13c|DC32|27583965|6291456|0.022185358000000|1000
jdk13c|DC64|32034913|6291456|0.025175472000000|1000
jdk13c|DC128|35406015|6291456|0.022131264000000|1000
jdk13c|GCIS-ef|10000
jdk13c|DC8|23487102|6291456|0.236370460000000|10000
jdk13c|DC16|24296733|6291456|0.191186791000000|10000
jdk13c|DC32|27592965|6291456|0.188799766000000|10000
jdk13c|DC64|32043913|6291456|0.202078948000000|10000
jdk13c|DC128|35415015|6291456|0.176493040000000|10000
