file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
mozilla|DC3|572081805|6291456|1.000000000000000|195722477|6291456|0.000000000000000|59134049|51220480
mozilla|DC4|526113196|6291456|1.000000000000000|149610736|6291456|0.000000000000000|47169360|51220480
mozilla|DC5|512482537|6291456|1.000000000000000|141852481|6291456|0.000000000000000|49655293|51220480
mozilla|DC6|498262692|6291456|1.000000000000000|131414040|6291456|0.000000000000000|46046280|51220480
mozilla|DC7|493714257|6291456|1.000000000000000|128935802|6291456|0.000000000000000|48446153|51220480
mozilla|DC8|483402340|6291456|1.000000000000000|120174464|6291456|0.000000000000000|43343408|51220480
mozilla|DC9|485793510|6291456|1.000000000000000|123532034|6291456|0.000000000000000|49546610|51220480
mozilla|DC11|480764552|6291456|1.000000000000000|119711642|6291456|0.000000000000000|49865300|51220480
mozilla|DC15|477037753|6291456|1.000000000000000|115883836|6291456|0.000000000000000|51004249|51220480
mozilla|DC30|469211112|6291456|0.000000000000000|108803268|6291456|0.000000000000000|50752884|51220480
mozilla|DC32|466944360|6291456|0.000000000000000|106823336|6291456|0.000000000000000|49199000|51220480
mozilla|DC60|464691540|6291456|0.000000000000000|105070516|6291456|0.000000000000000|50434852|51220480
mozilla|DC64|463749120|6291456|0.000000000000000|104236768|6291456|0.000000000000000|49810512|51220480
mozilla|GCIS-ef|51232585|6291456|0.0000|20777|6291456|0.0000| 496|51220480
mozilla|GCIS-s8b|51308069|6291456|0.0000| 57|51220480
