file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
ooffice|DC3|69951443|6291456|0.000000000000000|24548979|6291456|0.000000000000000|8142699|6152192
ooffice|DC4|65117944|6291456|0.000000000000000|19556060|6291456|0.000000000000000|7251260|6152192
ooffice|DC5|63160221|6291456|0.000000000000000|18458085|6291456|0.000000000000000|7383837|6152192
ooffice|DC6|61778896|6291456|0.000000000000000|17600748|6291456|0.000000000000000|7346808|6152192
ooffice|DC7|61361868|6291456|0.000000000000000|17127664|6291456|0.000000000000000|7459612|6152192
ooffice|DC8|60443272|6291456|0.000000000000000|16384360|6291456|0.000000000000000|7155736|6152192
ooffice|DC9|60274471|6291456|0.000000000000000|16197533|6291456|0.000000000000000|7310723|6152192
ooffice|DC11|59441995|6291456|0.000000000000000|15454692|6291456|0.000000000000000|7065075|6152192
ooffice|DC15|58464081|6291456|0.000000000000000|14702713|6291456|0.000000000000000|6909481|6152192
ooffice|DC30|56933864|6291456|0.000000000000000|13506012|6291456|0.000000000000000|6533148|6152192
ooffice|DC32|56783440|6291456|0.000000000000000|13386176|6291456|0.000000000000000|6463664|6152192
ooffice|DC60|56130680|6291456|0.000000000000000|12878308|6291456|0.000000000000000|6315604|6152192
ooffice|DC64|56075972|6291456|0.000000000000000|12840152|6291456|0.000000000000000|6298952|6152192
ooffice|GCIS-ef|6164317|6291456|0.0000|20768|6291456|0.0000| 484|6152192
ooffice|GCIS-s8b|6239757|6291456|0.0000| 33|6152192
