file|algorithm|peak|stack|time|substring_size
osdb|GCIS-ef|1
osdb|DC8|8812972|6291456|0.001064826000000|1
osdb|DC16|8331206|6291456|0.001428347000000|1
osdb|DC32|8390555|6291456|0.001096442000000|1
osdb|DC64|8340294|6291456|0.001216408000000|1
osdb|DC128|8390579|6291456|0.001221819000000|1
osdb|GCIS-ef|10
osdb|DC8|8812981|6291456|0.001572677000000|10
osdb|DC16|8331215|6291456|0.001763560000000|10
osdb|DC32|8390564|6291456|0.001672771000000|10
osdb|DC64|8340303|6291456|0.001505908000000|10
osdb|DC128|8390588|6291456|0.001503266000000|10
osdb|GCIS-ef|100
osdb|DC8|8813071|6291456|0.005486607000000|100
osdb|DC16|8331305|6291456|0.004118427000000|100
osdb|DC32|8390654|6291456|0.003786629000000|100
osdb|DC64|8340393|6291456|0.003495133000000|100
osdb|DC128|8390678|6291456|0.003629487000000|100
osdb|GCIS-ef|1000
osdb|DC8|8813971|6291456|0.038944700000000|1000
osdb|DC16|8332205|6291456|0.025126153000000|1000
osdb|DC32|8391554|6291456|0.020905213000000|1000
osdb|DC64|8341293|6291456|0.019163069000000|1000
osdb|DC128|8391578|6291456|0.020891382000000|1000
osdb|GCIS-ef|10000
osdb|DC8|8822971|6291456|0.344532559000000|10000
osdb|DC16|8341205|6291456|0.210194383000000|10000
osdb|DC32|8400554|6291456|0.177604884000000|10000
osdb|DC64|8350293|6291456|0.166557857000000|10000
osdb|DC128|8400578|6291456|0.176770031000000|10000
