file|algorithm|peak|stack|time|substring_size
samba|GCIS-ef|1
samba|DC8|23184310|6291456|0.001548253000000|1
samba|DC16|24628178|6291456|0.001876996000000|1
samba|DC32|26616318|6291456|0.002002890000000|1
samba|DC64|22735966|6291456|0.001919717000000|1
samba|DC128|22735966|6291456|0.001974739000000|1
samba|GCIS-ef|10
samba|DC8|23184319|6291456|0.001937302000000|10
samba|DC16|24628187|6291456|0.002806372000000|10
samba|DC32|26616327|6291456|0.002383212000000|10
samba|DC64|22735975|6291456|0.002301243000000|10
samba|DC128|22735975|6291456|0.002214700000000|10
samba|GCIS-ef|100
samba|DC8|23184409|6291456|0.005677772000000|100
samba|DC16|24628277|6291456|0.005523910000000|100
samba|DC32|26616417|6291456|0.005781357000000|100
samba|DC64|22736065|6291456|0.005469786000000|100
samba|DC128|22736065|6291456|0.005203424000000|100
samba|GCIS-ef|1000
samba|DC8|23185309|6291456|0.036406897000000|1000
samba|DC16|24629177|6291456|0.034216405000000|1000
samba|DC32|26617317|6291456|0.036128532000000|1000
samba|DC64|22736965|6291456|0.030095444000000|1000
samba|DC128|22736965|6291456|0.029934491000000|1000
samba|GCIS-ef|10000
samba|DC8|23194309|6291456|0.294258368000000|10000
samba|DC16|24638177|6291456|0.284528312000000|10000
samba|DC32|26626317|6291456|0.283873248000000|10000
samba|DC64|22745965|6291456|0.250673170000000|10000
samba|DC128|22745965|6291456|0.235917544000000|10000
