file|algorithm|peak|stack|time|substring_size
jdk13c|GCIS-ef|1
jdk13c|DC3|22150167|6291456|0.003580650000000|1
jdk13c|DC4|23300074|6291456|0.003383553000000|1
jdk13c|DC5|22966114|6291456|0.003156432000000|1
jdk13c|DC6|22625214|6291456|0.002909527000000|1
jdk13c|DC7|23767295|6291456|0.002931196000000|1
jdk13c|DC8|24346898|6291456|0.002925406000000|1
jdk13c|DC9|25011811|6291456|0.002847786000000|1
jdk13c|DC11|26303180|6291456|0.003119201000000|1
jdk13c|DC15|29785513|6291456|0.002753006000000|1
jdk13c|DC30|36933314|6291456|0.003443652000000|1
jdk13c|DC32|37743802|6291456|0.003289624000000|1
jdk13c|DC60|47180850|6291456|0.003128798000000|1
jdk13c|DC64|48048650|6291456|0.004488589000000|1
jdk13c|GCIS-ef|10
jdk13c|DC3|22150176|6291456|0.009692822000000|10
jdk13c|DC4|23300083|6291456|0.006140356000000|10
jdk13c|DC5|22966123|6291456|0.005309254000000|10
jdk13c|DC6|22625223|6291456|0.004814014000000|10
jdk13c|DC7|23767304|6291456|0.004514005000000|10
jdk13c|DC8|24346907|6291456|0.004194560000000|10
jdk13c|DC9|25011820|6291456|0.003758137000000|10
jdk13c|DC11|26303189|6291456|0.003776266000000|10
jdk13c|DC15|29785522|6291456|0.003443305000000|10
jdk13c|DC30|36933323|6291456|0.003819336000000|10
jdk13c|DC32|37743811|6291456|0.003691262000000|10
jdk13c|DC60|47180859|6291456|0.003218748000000|10
jdk13c|DC64|48048659|6291456|0.004706831000000|10
jdk13c|GCIS-ef|100
jdk13c|DC3|22150266|6291456|0.024589325000000|100
jdk13c|DC4|23300173|6291456|0.020396451000000|100
jdk13c|DC5|22966213|6291456|0.017535885000000|100
jdk13c|DC6|22625313|6291456|0.013929076000000|100
jdk13c|DC7|23767394|6291456|0.012636716000000|100
jdk13c|DC8|24346997|6291456|0.011171378000000|100
jdk13c|DC9|25011910|6291456|0.009643585000000|100
jdk13c|DC11|26303279|6291456|0.009078551000000|100
jdk13c|DC15|29785612|6291456|0.007041076000000|100
jdk13c|DC30|36933413|6291456|0.006145980000000|100
jdk13c|DC32|37743901|6291456|0.005563472000000|100
jdk13c|DC60|47180949|6291456|0.004981980000000|100
jdk13c|DC64|48048749|6291456|0.006519285000000|100
jdk13c|GCIS-ef|1000
jdk13c|DC3|22151166|6291456|0.121178785000000|1000
jdk13c|DC4|23301073|6291456|0.111359342000000|1000
jdk13c|DC5|22967113|6291456|0.091533484000000|1000
jdk13c|DC6|22626213|6291456|0.070339823000000|1000
jdk13c|DC7|23768294|6291456|0.065595375000000|1000
jdk13c|DC8|24347897|6291456|0.067306158000000|1000
jdk13c|DC9|25012810|6291456|0.049492788000000|1000
jdk13c|DC11|26304179|6291456|0.048203452000000|1000
jdk13c|DC15|29786512|6291456|0.029609109000000|1000
jdk13c|DC30|36934313|6291456|0.026205157000000|1000
jdk13c|DC32|37744801|6291456|0.024877634000000|1000
jdk13c|DC60|47181849|6291456|0.019209656000000|1000
jdk13c|DC64|48049649|6291456|0.023006182000000|1000
jdk13c|GCIS-ef|10000
jdk13c|DC3|22160166|6291456|0.544754077000000|10000
jdk13c|DC4|23310073|6291456|0.517403543000000|10000
jdk13c|DC5|22976113|6291456|0.434248297000000|10000
jdk13c|DC6|22635213|6291456|0.328950302000000|10000
jdk13c|DC7|23777294|6291456|0.334251648000000|10000
jdk13c|DC8|24356897|6291456|0.356890428000000|10000
jdk13c|DC9|25021810|6291456|0.232172980000000|10000
jdk13c|DC11|26313179|6291456|0.239184882000000|10000
jdk13c|DC15|29795512|6291456|0.209533173000000|10000
jdk13c|DC30|36943313|6291456|0.187655273000000|10000
jdk13c|DC32|37753801|6291456|0.177499376000000|10000
jdk13c|DC60|47190849|6291456|0.143161103000000|10000
jdk13c|DC64|48058649|6291456|0.169415189000000|10000
