file|algorithm|peak|stack|time|substring_size
kernel|GCIS-ef|7972540|6291456|0.0556|1
kernel|DC8|100179999|6291456|0.001940922000000|1
kernel|DC16|101413358|6291456|0.002567082000000|1
kernel|DC32|103892850|6291456|0.002493952000000|1
kernel|DC64|109348430|6291456|0.002691754000000|1
kernel|DC128|109348430|6291456|0.002726750000000|1
kernel|GCIS-ef|7972540|6291456|0.0836|10
kernel|DC8|100180008|6291456|0.002394167000000|10
kernel|DC16|101413367|6291456|0.002727072000000|10
kernel|DC32|103892859|6291456|0.002847000000000|10
kernel|DC64|109348439|6291456|0.002933992000000|10
kernel|DC128|109348439|6291456|0.002986101000000|10
kernel|GCIS-ef|7972540|6291456|0.3447|100
kernel|DC8|100180098|6291456|0.006271399000000|100
kernel|DC16|101413457|6291456|0.006940804000000|100
kernel|DC32|103892949|6291456|0.006935689000000|100
kernel|DC64|109348529|6291456|0.006684809000000|100
kernel|DC128|109348529|6291456|0.006711016000000|100
kernel|GCIS-ef|7972540|6291456|2.8819|1000
kernel|DC8|100180998|6291456|0.043180786000000|1000
kernel|DC16|101414357|6291456|0.042099795000000|1000
kernel|DC32|103893849|6291456|0.040657743000000|1000
kernel|DC64|109349429|6291456|0.040127684000000|1000
kernel|DC128|109349429|6291456|0.040525746000000|1000
kernel|GCIS-ef|7972540|6291456|25.7423|10000
kernel|DC8|100189998|6291456|0.387663760000000|10000
kernel|DC16|101423357|6291456|0.359844379000000|10000
kernel|DC32|103902849|6291456|0.368372995000000|10000
kernel|DC64|109358429|6291456|0.349643456000000|10000
kernel|DC128|109358429|6291456|0.357567195000000|10000
