file|algorithm|peak|stack|time|substring_size
linux-2.4.5.tar|GCIS-ef|1
linux-2.4.5.tar|DC3|89586547|6291456|0.004923972000000|1
linux-2.4.5.tar|DC4|86313046|6291456|0.003944468000000|1
linux-2.4.5.tar|DC5|80765754|6291456|0.003825894000000|1
linux-2.4.5.tar|DC6|79228908|6291456|0.003871637000000|1
linux-2.4.5.tar|DC7|80204591|6291456|0.003714916000000|1
linux-2.4.5.tar|DC8|83959290|6291456|0.003659392000000|1
linux-2.4.5.tar|DC9|89077989|6291456|0.003838542000000|1
linux-2.4.5.tar|DC11|97193648|6291456|0.003422538000000|1
linux-2.4.5.tar|DC15|107568619|6291456|0.004056519000000|1
linux-2.4.5.tar|DC30|113954430|6291456|0.003711176000000|1
linux-2.4.5.tar|DC32|112975682|6291456|0.003524857000000|1
linux-2.4.5.tar|DC60|113827962|6291456|0.004566048000000|1
linux-2.4.5.tar|DC64|112576410|6291456|0.004935804000000|1
linux-2.4.5.tar|GCIS-ef|10
linux-2.4.5.tar|DC3|89586556|6291456|0.009883737000000|10
linux-2.4.5.tar|DC4|86313055|6291456|0.007133334000000|10
linux-2.4.5.tar|DC5|80765763|6291456|0.006126253000000|10
linux-2.4.5.tar|DC6|79228917|6291456|0.005716023000000|10
linux-2.4.5.tar|DC7|80204600|6291456|0.005424489000000|10
linux-2.4.5.tar|DC8|83959299|6291456|0.004573911000000|10
linux-2.4.5.tar|DC9|89077998|6291456|0.004772796000000|10
linux-2.4.5.tar|DC11|97193657|6291456|0.004487116000000|10
linux-2.4.5.tar|DC15|107568628|6291456|0.004589101000000|10
linux-2.4.5.tar|DC30|113954439|6291456|0.004061113000000|10
linux-2.4.5.tar|DC32|112975691|6291456|0.003731944000000|10
linux-2.4.5.tar|DC60|113827971|6291456|0.004987417000000|10
linux-2.4.5.tar|DC64|112576419|6291456|0.004895084000000|10
linux-2.4.5.tar|GCIS-ef|100
linux-2.4.5.tar|DC3|89586646|6291456|0.034943264000000|100
linux-2.4.5.tar|DC4|86313145|6291456|0.025343872000000|100
linux-2.4.5.tar|DC5|80765853|6291456|0.022624680000000|100
linux-2.4.5.tar|DC6|79229007|6291456|0.019852487000000|100
linux-2.4.5.tar|DC7|80204690|6291456|0.015945093000000|100
linux-2.4.5.tar|DC8|83959389|6291456|0.013515476000000|100
linux-2.4.5.tar|DC9|89078088|6291456|0.012182772000000|100
linux-2.4.5.tar|DC11|97193747|6291456|0.010592849000000|100
linux-2.4.5.tar|DC15|107568718|6291456|0.009941736000000|100
linux-2.4.5.tar|DC30|113954529|6291456|0.007074104000000|100
linux-2.4.5.tar|DC32|112975781|6291456|0.006627791000000|100
linux-2.4.5.tar|DC60|113828061|6291456|0.007050586000000|100
linux-2.4.5.tar|DC64|112576509|6291456|0.007175837000000|100
linux-2.4.5.tar|GCIS-ef|1000
linux-2.4.5.tar|DC3|89587546|6291456|0.188855262000000|1000
linux-2.4.5.tar|DC4|86314045|6291456|0.145578454000000|1000
linux-2.4.5.tar|DC5|80766753|6291456|0.135978036000000|1000
linux-2.4.5.tar|DC6|79229907|6291456|0.121678840000000|1000
linux-2.4.5.tar|DC7|80205590|6291456|0.098835945000000|1000
linux-2.4.5.tar|DC8|83960289|6291456|0.083908687000000|1000
linux-2.4.5.tar|DC9|89078988|6291456|0.078151725000000|1000
linux-2.4.5.tar|DC11|97194647|6291456|0.059404085000000|1000
linux-2.4.5.tar|DC15|107569618|6291456|0.059056908000000|1000
linux-2.4.5.tar|DC30|113955429|6291456|0.035602239000000|1000
linux-2.4.5.tar|DC32|112976681|6291456|0.032432401000000|1000
linux-2.4.5.tar|DC60|113828961|6291456|0.025973867000000|1000
linux-2.4.5.tar|DC64|112577409|6291456|0.027397365000000|1000
linux-2.4.5.tar|GCIS-ef|10000
linux-2.4.5.tar|DC3|89596546|6291456|1.006960546000000|10000
linux-2.4.5.tar|DC4|86323045|6291456|0.736306041000000|10000
linux-2.4.5.tar|DC5|80775753|6291456|0.722690678000000|10000
linux-2.4.5.tar|DC6|79238907|6291456|0.576844237000000|10000
linux-2.4.5.tar|DC7|80214590|6291456|0.569729753000000|10000
linux-2.4.5.tar|DC8|83969289|6291456|0.548037919000000|10000
linux-2.4.5.tar|DC9|89087988|6291456|0.572471457000000|10000
linux-2.4.5.tar|DC11|97203647|6291456|0.397500021000000|10000
linux-2.4.5.tar|DC15|107578618|6291456|0.441695131000000|10000
linux-2.4.5.tar|DC30|113964429|6291456|0.275545765000000|10000
linux-2.4.5.tar|DC32|112985681|6291456|0.252416533000000|10000
linux-2.4.5.tar|DC60|113837961|6291456|0.198835562000000|10000
linux-2.4.5.tar|DC64|112586409|6291456|0.208281813000000|10000
