file|algorithm|peak|stack|time|substring_size
rctail96|GCIS-ef|32691232|6291456|0.0559|1
rctail96|DC8|50097302|6291456|0.001751664000000|1
rctail96|DC16|49433726|6291456|0.002060736000000|1
rctail96|DC32|52556979|6291456|0.002237753000000|1
rctail96|DC64|64650130|6291456|0.002371955000000|1
rctail96|DC128|75616258|6291456|0.002611201000000|1
rctail96|GCIS-ef|32691232|6291456|0.0862|10
rctail96|DC8|50097311|6291456|0.002111933000000|10
rctail96|DC16|49433735|6291456|0.002360910000000|10
rctail96|DC32|52556988|6291456|0.002490608000000|10
rctail96|DC64|64650139|6291456|0.002678166000000|10
rctail96|DC128|75616267|6291456|0.002831995000000|10
rctail96|GCIS-ef|32691232|6291456|0.3605|100
rctail96|DC8|50097401|6291456|0.005291123000000|100
rctail96|DC16|49433825|6291456|0.005507210000000|100
rctail96|DC32|52557078|6291456|0.006008060000000|100
rctail96|DC64|64650229|6291456|0.005671865000000|100
rctail96|DC128|75616357|6291456|0.005362407000000|100
rctail96|GCIS-ef|32691232|6291456|2.9607|1000
rctail96|DC8|50098301|6291456|0.034206003000000|1000
rctail96|DC16|49434725|6291456|0.033153881000000|1000
rctail96|DC32|52557978|6291456|0.034028169000000|1000
rctail96|DC64|64651129|6291456|0.031024073000000|1000
rctail96|DC128|75617257|6291456|0.026874602000000|1000
rctail96|GCIS-ef|32691232|6291456|27.3707|10000
rctail96|DC8|50107301|6291456|0.304491558000000|10000
rctail96|DC16|49443725|6291456|0.288214386000000|10000
rctail96|DC32|52566978|6291456|0.294442256000000|10000
rctail96|DC64|64660129|6291456|0.267273749000000|10000
rctail96|DC128|75626257|6291456|0.226641392000000|10000
