file|algorithm|peak|stack|time|substring_size
rfc|GCIS-ef|1
rfc|DC8|71071352|6291456|0.002006281000000|1
rfc|DC16|68048798|6291456|0.002274894000000|1
rfc|DC32|75006724|6291456|0.002568138000000|1
rfc|DC64|85977378|6291456|0.002562843000000|1
rfc|DC128|85977410|6291456|0.002439392000000|1
rfc|GCIS-ef|10
rfc|DC8|71071361|6291456|0.002435880000000|10
rfc|DC16|68048807|6291456|0.002726533000000|10
rfc|DC32|75006733|6291456|0.002816263000000|10
rfc|DC64|85977387|6291456|0.003198908000000|10
rfc|DC128|85977419|6291456|0.002913546000000|10
rfc|GCIS-ef|100
rfc|DC8|71071451|6291456|0.006672955000000|100
rfc|DC16|68048897|6291456|0.006544646000000|100
rfc|DC32|75006823|6291456|0.007109628000000|100
rfc|DC64|85977477|6291456|0.006535390000000|100
rfc|DC128|85977509|6291456|0.006565993000000|100
rfc|GCIS-ef|1000
rfc|DC8|71072351|6291456|0.045145994000000|1000
rfc|DC16|68049797|6291456|0.040885819000000|1000
rfc|DC32|75007723|6291456|0.041055233000000|1000
rfc|DC64|85978377|6291456|0.037916552000000|1000
rfc|DC128|85978409|6291456|0.038513991000000|1000
rfc|GCIS-ef|10000
rfc|DC8|71081351|6291456|0.403204803000000|10000
rfc|DC16|68058797|6291456|0.354090763000000|10000
rfc|DC32|75016723|6291456|0.359622753000000|10000
rfc|DC64|85987377|6291456|0.331333159000000|10000
rfc|DC128|85987409|6291456|0.334767898000000|10000
