file|algorithm|peak|stack|time|substring_size
sao|GCIS-ef|1
sao|DC8|10061358|6291456|0.000952404000000|1
sao|DC16|12315804|6291456|0.001100544000000|1
sao|DC32|12315812|6291456|0.001115880000000|1
sao|DC64|12315812|6291456|0.001078859000000|1
sao|DC128|10061374|6291456|0.000950067000000|1
sao|GCIS-ef|10
sao|DC8|10061367|6291456|0.001332074000000|10
sao|DC16|12315813|6291456|0.002124391000000|10
sao|DC32|12315821|6291456|0.001589726000000|10
sao|DC64|12315821|6291456|0.001610498000000|10
sao|DC128|10061383|6291456|0.001320394000000|10
sao|GCIS-ef|100
sao|DC8|10061457|6291456|0.010306432000000|100
sao|DC16|12315903|6291456|0.005953486000000|100
sao|DC32|12315911|6291456|0.005880727000000|100
sao|DC64|12315911|6291456|0.005832681000000|100
sao|DC128|10061473|6291456|0.006207325000000|100
sao|GCIS-ef|1000
sao|DC8|10062357|6291456|0.047764073000000|1000
sao|DC16|12316803|6291456|0.037382089000000|1000
sao|DC32|12316811|6291456|0.038894589000000|1000
sao|DC64|12316811|6291456|0.037704280000000|1000
sao|DC128|10062373|6291456|0.050636621000000|1000
sao|GCIS-ef|10000
sao|DC8|10071357|6291456|0.421800441000000|10000
sao|DC16|12325803|6291456|0.327541753000000|10000
sao|DC32|12325811|6291456|0.331500875000000|10000
sao|DC64|12325811|6291456|0.330301121000000|10000
sao|DC128|10071373|6291456|0.422642688000000|10000
