file|algorithm|peak|stack|time|substring_size
sources|GCIS-ef|108185124|6291456|0.0673|1
sources|DC3|161440891|6291456|0.005592373000000|1
sources|DC4|163780918|6291456|0.004229919000000|1
sources|DC5|150250719|6291456|0.004123901000000|1
sources|DC6|144357502|6291456|0.004150873000000|1
sources|DC7|142675680|6291456|0.003982250000000|1
sources|DC8|147189030|6291456|0.003543159000000|1
sources|DC9|157641539|6291456|0.003904198000000|1
sources|DC11|173584601|6291456|0.003895815000000|1
sources|DC15|196182000|6291456|0.003915379000000|1
sources|DC30|212049376|6291456|0.004444775000000|1
sources|DC32|212218970|6291456|0.004191315000000|1
sources|DC60|211150226|6291456|0.004926197000000|1
sources|DC64|211024982|6291456|0.003612491000000|1
sources|GCIS-ef|108185124|6291456|0.1007|10
sources|DC3|161440900|6291456|0.010499011000000|10
sources|DC4|163780927|6291456|0.007546241000000|10
sources|DC5|150250728|6291456|0.006886015000000|10
sources|DC6|144357511|6291456|0.006384392000000|10
sources|DC7|142675689|6291456|0.005568423000000|10
sources|DC8|147189039|6291456|0.004813218000000|10
sources|DC9|157641548|6291456|0.005183996000000|10
sources|DC11|173584610|6291456|0.004523479000000|10
sources|DC15|196182009|6291456|0.004372613000000|10
sources|DC30|212049385|6291456|0.005022942000000|10
sources|DC32|212218979|6291456|0.003984424000000|10
sources|DC60|211150235|6291456|0.005108556000000|10
sources|DC64|211024991|6291456|0.003594342000000|10
sources|GCIS-ef|108185124|6291456|0.3839|100
sources|DC3|161440990|6291456|0.039428669000000|100
sources|DC4|163781017|6291456|0.024688455000000|100
sources|DC5|150250818|6291456|0.026018398000000|100
sources|DC6|144357601|6291456|0.022842037000000|100
sources|DC7|142675779|6291456|0.017955256000000|100
sources|DC8|147189129|6291456|0.013870911000000|100
sources|DC9|157641638|6291456|0.013062391000000|100
sources|DC11|173584700|6291456|0.011456653000000|100
sources|DC15|196182099|6291456|0.010527612000000|100
sources|DC30|212049475|6291456|0.008263202000000|100
sources|DC32|212219069|6291456|0.007079984000000|100
sources|DC60|211150325|6291456|0.007388101000000|100
sources|DC64|211025081|6291456|0.005852116000000|100
sources|GCIS-ef|108185124|6291456|2.9805|1000
sources|DC3|161441890|6291456|0.236934487000000|1000
sources|DC4|163781917|6291456|0.116741216000000|1000
sources|DC5|150251718|6291456|0.151019254000000|1000
sources|DC6|144358501|6291456|0.156169738000000|1000
sources|DC7|142676679|6291456|0.114926780000000|1000
sources|DC8|147190029|6291456|0.076533025000000|1000
sources|DC9|157642538|6291456|0.085901257000000|1000
sources|DC11|173585600|6291456|0.065513659000000|1000
sources|DC15|196182999|6291456|0.062877743000000|1000
sources|DC30|212050375|6291456|0.037754476000000|1000
sources|DC32|212219969|6291456|0.033508274000000|1000
sources|DC60|211151225|6291456|0.026548421000000|1000
sources|DC64|211025981|6291456|0.024996133000000|1000
sources|GCIS-ef|108185124|6291456|27.1339|10000
sources|DC3|161450890|6291456|1.355237020000000|10000
sources|DC4|163790917|6291456|0.574886525000000|10000
sources|DC5|150260718|6291456|0.784739322000000|10000
sources|DC6|144367501|6291456|1.021476360000000|10000
sources|DC7|142685679|6291456|0.636726753000000|10000
sources|DC8|147199029|6291456|0.480996370000000|10000
sources|DC9|157651538|6291456|0.620011765000000|10000
sources|DC11|173594600|6291456|0.426328540000000|10000
sources|DC15|196191999|6291456|0.479651000000000|10000
sources|DC30|212059375|6291456|0.310307104000000|10000
sources|DC32|212228969|6291456|0.264300031000000|10000
sources|DC60|211160225|6291456|0.203574734000000|10000
sources|DC64|211034981|6291456|0.212679508000000|10000
