file|algorithm|peak|stack|time|substring_size
corpus-gcc-3.0.tar|GCIS-ef|1
corpus-gcc-3.0.tar|DC8|53751960|6291456|0.001765636000000|1
corpus-gcc-3.0.tar|DC16|52705811|6291456|0.002051466000000|1
corpus-gcc-3.0.tar|DC32|57364188|6291456|0.002215993000000|1
corpus-gcc-3.0.tar|DC64|57364188|6291456|0.002246063000000|1
corpus-gcc-3.0.tar|DC128|57364188|6291456|0.002230335000000|1
corpus-gcc-3.0.tar|GCIS-ef|10
corpus-gcc-3.0.tar|DC8|53751969|6291456|0.002083441000000|10
corpus-gcc-3.0.tar|DC16|52705820|6291456|0.002300571000000|10
corpus-gcc-3.0.tar|DC32|57364197|6291456|0.002476074000000|10
corpus-gcc-3.0.tar|DC64|57364197|6291456|0.002508273000000|10
corpus-gcc-3.0.tar|DC128|57364197|6291456|0.002497223000000|10
corpus-gcc-3.0.tar|GCIS-ef|100
corpus-gcc-3.0.tar|DC8|53752059|6291456|0.005844766000000|100
corpus-gcc-3.0.tar|DC16|52705910|6291456|0.005609567000000|100
corpus-gcc-3.0.tar|DC32|57364287|6291456|0.005879399000000|100
corpus-gcc-3.0.tar|DC64|57364287|6291456|0.005840568000000|100
corpus-gcc-3.0.tar|DC128|57364287|6291456|0.005805586000000|100
corpus-gcc-3.0.tar|GCIS-ef|1000
corpus-gcc-3.0.tar|DC8|53752959|6291456|0.038554297000000|1000
corpus-gcc-3.0.tar|DC16|52706810|6291456|0.036089455000000|1000
corpus-gcc-3.0.tar|DC32|57365187|6291456|0.037079908000000|1000
corpus-gcc-3.0.tar|DC64|57365187|6291456|0.036613149000000|1000
corpus-gcc-3.0.tar|DC128|57365187|6291456|0.036516494000000|1000
corpus-gcc-3.0.tar|GCIS-ef|10000
corpus-gcc-3.0.tar|DC8|53761959|6291456|0.333350124000000|10000
corpus-gcc-3.0.tar|DC16|52715810|6291456|0.303162384000000|10000
corpus-gcc-3.0.tar|DC32|57374187|6291456|0.317377588000000|10000
corpus-gcc-3.0.tar|DC64|57374187|6291456|0.316551701000000|10000
corpus-gcc-3.0.tar|DC128|57374187|6291456|0.316742902000000|10000
