file|algorithm|peak|stack|time|substring_size
corpus-xml|GCIS-ef|1
corpus-xml|DC8|2857230|6291456|0.000752144000000|1
corpus-xml|DC16|3051868|6291456|0.000955703000000|1
corpus-xml|DC32|3361078|6291456|0.000963800000000|1
corpus-xml|DC64|3599534|6291456|0.001017592000000|1
corpus-xml|DC128|3716210|6291456|0.001091129000000|1
corpus-xml|GCIS-ef|10
corpus-xml|DC8|2857239|6291456|0.000994991000000|10
corpus-xml|DC16|3051877|6291456|0.001262209000000|10
corpus-xml|DC32|3361087|6291456|0.001156897000000|10
corpus-xml|DC64|3599543|6291456|0.001126576000000|10
corpus-xml|DC128|3716219|6291456|0.001155931000000|10
corpus-xml|GCIS-ef|100
corpus-xml|DC8|2857329|6291456|0.003369644000000|100
corpus-xml|DC16|3051967|6291456|0.002853673000000|100
corpus-xml|DC32|3361177|6291456|0.002583235000000|100
corpus-xml|DC64|3599633|6291456|0.002002992000000|100
corpus-xml|DC128|3716309|6291456|0.002100319000000|100
corpus-xml|GCIS-ef|1000
corpus-xml|DC8|2858229|6291456|0.022175397000000|1000
corpus-xml|DC16|3052867|6291456|0.017049807000000|1000
corpus-xml|DC32|3362077|6291456|0.014545989000000|1000
corpus-xml|DC64|3600533|6291456|0.009805659000000|1000
corpus-xml|DC128|3717209|6291456|0.010013440000000|1000
corpus-xml|GCIS-ef|10000
corpus-xml|DC8|2867229|6291456|0.193468825000000|10000
corpus-xml|DC16|3061867|6291456|0.144766817000000|10000
corpus-xml|DC32|10000
corpus-xml|DC64|10000
corpus-xml|DC128|10000
