file|algorithm|peak|stack|time|substring_size
large-corpus-samba|GCIS-ef|1
large-corpus-samba|DC8|23184310|6291456|0.001527841000000|1
large-corpus-samba|DC16|24628178|6291456|0.001730259000000|1
large-corpus-samba|DC32|26616318|6291456|0.001776711000000|1
large-corpus-samba|DC64|22735966|6291456|0.001839323000000|1
large-corpus-samba|DC128|22735966|6291456|0.001837120000000|1
large-corpus-samba|GCIS-ef|10
large-corpus-samba|DC8|23184319|6291456|0.001823157000000|10
large-corpus-samba|DC16|24628187|6291456|0.002086776000000|10
large-corpus-samba|DC32|26616327|6291456|0.002235435000000|10
large-corpus-samba|DC64|22735975|6291456|0.002114117000000|10
large-corpus-samba|DC128|22735975|6291456|0.002131045000000|10
large-corpus-samba|GCIS-ef|100
large-corpus-samba|DC8|23184409|6291456|0.005446072000000|100
large-corpus-samba|DC16|24628277|6291456|0.004917803000000|100
large-corpus-samba|DC32|26616417|6291456|0.005078968000000|100
large-corpus-samba|DC64|22736065|6291456|0.004677814000000|100
large-corpus-samba|DC128|22736065|6291456|0.004549983000000|100
large-corpus-samba|GCIS-ef|1000
large-corpus-samba|DC8|23185309|6291456|0.033662069000000|1000
large-corpus-samba|DC16|24629177|6291456|0.031242091000000|1000
large-corpus-samba|DC32|26617317|6291456|0.029345149000000|1000
large-corpus-samba|DC64|22736965|6291456|0.027254092000000|1000
large-corpus-samba|DC128|22736965|6291456|0.026350455000000|1000
large-corpus-samba|GCIS-ef|10000
large-corpus-samba|DC8|23194309|6291456|0.257365029000000|10000
large-corpus-samba|DC16|24638177|6291456|0.258635898000000|10000
large-corpus-samba|DC32|26626317|6291456|0.264027395000000|10000
large-corpus-samba|DC64|22745965|6291456|0.216848136000000|10000
large-corpus-samba|DC128|22745965|6291456|0.193875315000000|10000
