file|algorithm|peak|stack|time|substring_size
real-world_leaders|GCIS-ef|2786264|6291456|0.0548|1
real-world_leaders|DC8|13467686|6291456|0.000854357000000|1
real-world_leaders|DC16|12270088|6291456|0.001033250000000|1
real-world_leaders|DC32|13817616|6291456|0.004236723000000|1
real-world_leaders|DC64|15693770|6291456|0.007356885000000|1
real-world_leaders|DC128|19206990|6291456|0.001901663000000|1
real-world_leaders|GCIS-ef|2786264|6291456|0.0710|10
real-world_leaders|DC8|13467695|6291456|0.001177705000000|10
real-world_leaders|DC16|12270097|6291456|0.001191091000000|10
real-world_leaders|DC32|13817625|6291456|0.004348798000000|10
real-world_leaders|DC64|15693779|6291456|0.008032087000000|10
real-world_leaders|DC128|19206999|6291456|0.002284871000000|10
real-world_leaders|GCIS-ef|2786264|6291456|0.2091|100
real-world_leaders|DC8|13467785|6291456|0.003488761000000|100
real-world_leaders|DC16|12270187|6291456|0.003032996000000|100
real-world_leaders|DC32|13817715|6291456|0.005825658000000|100
real-world_leaders|DC64|15693869|6291456|0.009813752000000|100
real-world_leaders|DC128|19207089|6291456|0.003017470000000|100
real-world_leaders|GCIS-ef|2786264|6291456|1.5084|1000
real-world_leaders|DC8|13468685|6291456|0.022512666000000|1000
real-world_leaders|DC16|12271087|6291456|0.017509988000000|1000
real-world_leaders|DC32|13818615|6291456|0.018270958000000|1000
real-world_leaders|DC64|15694769|6291456|0.020797724000000|1000
real-world_leaders|DC128|19207989|6291456|0.012842719000000|1000
real-world_leaders|GCIS-ef|2786264|6291456|14.3884|10000
real-world_leaders|DC8|13477685|6291456|0.192293326000000|10000
real-world_leaders|DC16|12280087|6291456|0.153340037000000|10000
real-world_leaders|DC32|10000
real-world_leaders|DC64|10000
real-world_leaders|DC128|10000
