file|algorithm|peak|stack|time|substring_size
corpus-dickens|GCIS-ef|8011408|6291456|0.0400|1
corpus-dickens|DC3|9278316|6291456|0.008269014000000|1
corpus-dickens|DC4|8351034|6291456|0.007612167000000|1
corpus-dickens|DC5|7514740|6291456|0.015636524000000|1
corpus-dickens|DC6|7609216|6291456|0.005968568000000|1
corpus-dickens|DC7|8210231|6291456|0.007452282000000|1
corpus-dickens|DC8|9361330|6291456|0.002443515000000|1
corpus-dickens|DC9|10359077|6291456|0.002779923000000|1
corpus-dickens|DC11|11796195|6291456|0.003073329000000|1
corpus-dickens|DC15|12420426|6291456|0.005036398000000|1
corpus-dickens|DC30|11662336|6291456|0.001380827000000|1
corpus-dickens|DC32|11598102|6291456|0.001295540000000|1
corpus-dickens|DC60|11214146|6291456|0.001631231000000|1
corpus-dickens|DC64|11181942|6291456|0.001655235000000|1
corpus-dickens|GCIS-ef|8011408|6291456|0.0695|10
corpus-dickens|DC3|9278325|6291456|0.008040890000000|10
corpus-dickens|DC4|8351043|6291456|0.007907158000000|10
corpus-dickens|DC5|7514749|6291456|0.015542215000000|10
corpus-dickens|DC6|7609225|6291456|0.005857679000000|10
corpus-dickens|DC7|8210240|6291456|0.008339094000000|10
corpus-dickens|DC8|9361339|6291456|0.002656671000000|10
corpus-dickens|DC9|10359086|6291456|0.003102433000000|10
corpus-dickens|DC11|11796204|6291456|0.003535298000000|10
corpus-dickens|DC15|12420435|6291456|0.005501601000000|10
corpus-dickens|DC30|11662345|6291456|0.001561965000000|10
corpus-dickens|DC32|11598111|6291456|0.001500379000000|10
corpus-dickens|DC60|11214155|6291456|0.001918357000000|10
corpus-dickens|DC64|11181951|6291456|0.001883126000000|10
corpus-dickens|GCIS-ef|8011408|6291456|0.3379|100
corpus-dickens|DC3|9278415|6291456|0.009939649000000|100
corpus-dickens|DC4|8351133|6291456|0.009353645000000|100
corpus-dickens|DC5|7514839|6291456|0.017056679000000|100
corpus-dickens|DC6|7609315|6291456|0.007442389000000|100
corpus-dickens|DC7|8210330|6291456|0.010131937000000|100
corpus-dickens|DC8|9361429|6291456|0.004272080000000|100
corpus-dickens|DC9|10359176|6291456|0.004439412000000|100
corpus-dickens|DC11|11796294|6291456|0.005164045000000|100
corpus-dickens|DC15|12420525|6291456|0.006823426000000|100
corpus-dickens|DC30|11662435|6291456|0.002929480000000|100
corpus-dickens|DC32|11598201|6291456|0.002662381000000|100
corpus-dickens|DC60|11214245|6291456|0.002779368000000|100
corpus-dickens|DC64|11182041|6291456|0.002812666000000|100
corpus-dickens|GCIS-ef|8011408|6291456|2.9244|1000
corpus-dickens|DC3|9279315|6291456|0.035291443000000|1000
corpus-dickens|DC4|8352033|6291456|0.029575734000000|1000
corpus-dickens|DC5|7515739|6291456|0.030717138000000|1000
corpus-dickens|DC6|7610215|6291456|0.023576449000000|1000
corpus-dickens|DC7|8211230|6291456|0.023457157000000|1000
corpus-dickens|DC8|9362329|6291456|0.019253862000000|1000
corpus-dickens|DC9|10360076|6291456|0.018993320000000|1000
corpus-dickens|DC11|11797194|6291456|0.018134431000000|1000
corpus-dickens|DC15|12421425|6291456|0.020345545000000|1000
corpus-dickens|DC30|11663335|6291456|0.014327739000000|1000
corpus-dickens|DC32|11599101|6291456|0.013709798000000|1000
corpus-dickens|DC60|11215145|6291456|0.012474452000000|1000
corpus-dickens|DC64|11182941|6291456|0.012145719000000|1000
corpus-dickens|GCIS-ef|8011408|6291456|28.0433|10000
corpus-dickens|DC3|9288315|6291456|0.311174459000000|10000
corpus-dickens|DC4|8361033|6291456|0.263663586000000|10000
corpus-dickens|DC5|7524739|6291456|0.236945981000000|10000
corpus-dickens|DC6|7619215|6291456|0.216174014000000|10000
corpus-dickens|DC7|8220230|6291456|0.193480836000000|10000
corpus-dickens|DC8|9371329|6291456|0.179138624000000|10000
corpus-dickens|DC9|10369076|6291456|0.166213963000000|10000
corpus-dickens|DC11|11806194|6291456|0.151851820000000|10000
corpus-dickens|DC15|12430425|6291456|0.151749627000000|10000
corpus-dickens|DC30|11672335|6291456|0.119995001000000|10000
corpus-dickens|DC32|11608101|6291456|0.122189900000000|10000
corpus-dickens|DC60|11224145|6291456|0.104160056000000|10000
corpus-dickens|DC64|11191941|6291456|0.103977025000000|10000
