file|algorithm|peak|stack|time|substring_size
corpus-howto|DC8|28701362|6291456|0.001633530000000|1
corpus-howto|DC16|30013296|6291456|0.001780567000000|1
corpus-howto|DC32|30013296|6291456|0.001795490000000|1
corpus-howto|DC64|30013296|6291456|0.001848873000000|1
corpus-howto|DC128|30013320|6291456|0.001881890000000|1
corpus-howto|GCIS-ef|25205348|6291456|0.0456|1
corpus-howto|DC8|28701371|6291456|0.001908899000000|10
corpus-howto|DC16|30013305|6291456|0.002117413000000|10
corpus-howto|DC32|30013305|6291456|0.002084631000000|10
corpus-howto|DC64|30013305|6291456|0.002153680000000|10
corpus-howto|DC128|30013329|6291456|0.002218158000000|10
corpus-howto|GCIS-ef|25205348|6291456|0.0761|10
corpus-howto|DC8|28701461|6291456|0.005243240000000|100
corpus-howto|DC16|30013395|6291456|0.005297422000000|100
corpus-howto|DC32|30013395|6291456|0.005264254000000|100
corpus-howto|DC64|30013395|6291456|0.005517456000000|100
corpus-howto|DC128|30013419|6291456|0.005624843000000|100
corpus-howto|GCIS-ef|25205348|6291456|0.3406|100
corpus-howto|DC8|28702361|6291456|0.038463610000000|1000
corpus-howto|DC16|30014295|6291456|0.034779391000000|1000
corpus-howto|DC32|30014295|6291456|0.038088427000000|1000
corpus-howto|DC64|30014295|6291456|0.037410336000000|1000
corpus-howto|DC128|30014319|6291456|0.039076897000000|1000
corpus-howto|GCIS-ef|25205348|6291456|2.8000|1000
corpus-howto|DC8|28711361|6291456|0.324464428000000|10000
corpus-howto|DC16|30023295|6291456|0.296188585000000|10000
corpus-howto|DC32|30023295|6291456|0.326583082000000|10000
corpus-howto|DC64|30023295|6291456|0.314196601000000|10000
corpus-howto|DC128|30023319|6291456|0.293758955000000|10000
corpus-howto|GCIS-ef|25205348|6291456|26.6688|10000
