file|algorithm|peak|stack|time|substring_size
corpus-rctail96|GCIS-ef|32691232|6291456|0.0549|1
corpus-rctail96|DC3|50810311|6291456|0.036351945000000|1
corpus-rctail96|DC4|53329870|6291456|0.046090959000000|1
corpus-rctail96|DC5|49285106|6291456|0.031632106000000|1
corpus-rctail96|DC6|47343222|6291456|0.054377307000000|1
corpus-rctail96|DC7|47064529|6291456|0.016127506000000|1
corpus-rctail96|DC8|49996086|6291456|0.021784925000000|1
corpus-rctail96|DC9|52784802|6291456|0.027718087000000|1
corpus-rctail96|DC11|61008421|6291456|0.041872138000000|1
corpus-rctail96|DC15|71954534|6291456|0.009686365000000|1
corpus-rctail96|DC30|75459094|6291456|0.018538913000000|1
corpus-rctail96|DC32|74988298|6291456|0.017723484000000|1
corpus-rctail96|DC60|77078554|6291456|0.002520321000000|1
corpus-rctail96|DC64|77575614|6291456|0.002532225000000|1
corpus-rctail96|GCIS-ef|32691232|6291456|0.0843|10
corpus-rctail96|DC3|50810320|6291456|0.037799896000000|10
corpus-rctail96|DC4|53329879|6291456|0.045601430000000|10
corpus-rctail96|DC5|49285115|6291456|0.032019232000000|10
corpus-rctail96|DC6|47343231|6291456|0.054656615000000|10
corpus-rctail96|DC7|47064538|6291456|0.016685198000000|10
corpus-rctail96|DC8|49996095|6291456|0.021578487000000|10
corpus-rctail96|DC9|52784811|6291456|0.028232505000000|10
corpus-rctail96|DC11|61008430|6291456|0.042515109000000|10
corpus-rctail96|DC15|71954543|6291456|0.010159304000000|10
corpus-rctail96|DC30|75459103|6291456|0.018807645000000|10
corpus-rctail96|DC32|74988307|6291456|0.017948578000000|10
corpus-rctail96|DC60|77078563|6291456|0.002661396000000|10
corpus-rctail96|DC64|77575623|6291456|0.002690782000000|10
corpus-rctail96|GCIS-ef|32691232|6291456|0.3564|100
corpus-rctail96|DC3|50810410|6291456|0.039615443000000|100
corpus-rctail96|DC4|53329969|6291456|0.047973732000000|100
corpus-rctail96|DC5|49285205|6291456|0.034076022000000|100
corpus-rctail96|DC6|47343321|6291456|0.057711045000000|100
corpus-rctail96|DC7|47064628|6291456|0.018667957000000|100
corpus-rctail96|DC8|49996185|6291456|0.024075284000000|100
corpus-rctail96|DC9|52784901|6291456|0.031520050000000|100
corpus-rctail96|DC11|61008520|6291456|0.045855169000000|100
corpus-rctail96|DC15|71954633|6291456|0.012727902000000|100
corpus-rctail96|DC30|75459193|6291456|0.021186276000000|100
corpus-rctail96|DC32|74988397|6291456|0.020342951000000|100
corpus-rctail96|DC60|77078653|6291456|0.004013983000000|100
corpus-rctail96|DC64|77575713|6291456|0.004361753000000|100
corpus-rctail96|GCIS-ef|32691232|6291456|2.9744|1000
corpus-rctail96|DC3|50811310|6291456|0.065395595000000|1000
corpus-rctail96|DC4|53330869|6291456|0.065019409000000|1000
corpus-rctail96|DC5|49286105|6291456|0.055142847000000|1000
corpus-rctail96|DC6|47344221|6291456|0.077156939000000|1000
corpus-rctail96|DC7|47065528|6291456|0.039282904000000|1000
corpus-rctail96|DC8|49997085|6291456|0.046015988000000|1000
corpus-rctail96|DC9|52785801|6291456|0.055949574000000|1000
corpus-rctail96|DC11|61009420|6291456|0.072317148000000|1000
corpus-rctail96|DC15|71955533|6291456|0.039339919000000|1000
corpus-rctail96|DC30|75460093|6291456|0.042813453000000|1000
corpus-rctail96|DC32|74989297|6291456|0.040779350000000|1000
corpus-rctail96|DC60|77079553|6291456|0.018771889000000|1000
corpus-rctail96|DC64|77576613|6291456|0.019202425000000|1000
corpus-rctail96|GCIS-ef|32691232|6291456|27.7604|10000
corpus-rctail96|DC3|50820310|6291456|0.529368679000000|10000
corpus-rctail96|DC4|53339869|6291456|0.400313906000000|10000
corpus-rctail96|DC5|49295105|6291456|0.377454896000000|10000
corpus-rctail96|DC6|47353221|6291456|0.320282544000000|10000
corpus-rctail96|DC7|47074528|6291456|0.298922239000000|10000
corpus-rctail96|DC8|50006085|6291456|0.307737356000000|10000
corpus-rctail96|DC9|52794801|6291456|0.305333503000000|10000
corpus-rctail96|DC11|61018420|6291456|0.299461345000000|10000
corpus-rctail96|DC15|71964533|6291456|0.308836168000000|10000
corpus-rctail96|DC30|75469093|6291456|0.224126679000000|10000
corpus-rctail96|DC32|74998297|6291456|0.206761013000000|10000
corpus-rctail96|DC60|77088553|6291456|0.158953262000000|10000
corpus-rctail96|DC64|77585613|6291456|0.163975845000000|10000
