file|algorithm|peak|stack|time|substring_size
corpus-webster|DC8|24712017|6291456|0.001515696000000|1
corpus-webster|DC16|27094928|6291456|0.001691303000000|1
corpus-webster|DC32|31948166|6291456|0.001877913000000|1
corpus-webster|DC64|34405902|6291456|0.001963879000000|1
corpus-webster|DC128|33309097|6291456|0.001955326000000|1
corpus-webster|GCIS-ef|24363972|6291456|0.0473|1
corpus-webster|DC8|24712026|6291456|0.001816946000000|10
corpus-webster|DC16|27094937|6291456|0.001994671000000|10
corpus-webster|DC32|31948175|6291456|0.002335345000000|10
corpus-webster|DC64|34405911|6291456|0.002369711000000|10
corpus-webster|DC128|33309106|6291456|0.002367354000000|10
corpus-webster|GCIS-ef|24363972|6291456|0.0783|10
corpus-webster|DC8|24712116|6291456|0.005113139000000|100
corpus-webster|DC16|27095027|6291456|0.004721571000000|100
corpus-webster|DC32|31948265|6291456|0.005061633000000|100
corpus-webster|DC64|34406001|6291456|0.005128699000000|100
corpus-webster|DC128|33309196|6291456|0.005158686000000|100
corpus-webster|GCIS-ef|24363972|6291456|0.3572|100
corpus-webster|DC8|24713016|6291456|0.034618175000000|1000
corpus-webster|DC16|27095927|6291456|0.031527684000000|1000
corpus-webster|DC32|31949165|6291456|0.031810320000000|1000
corpus-webster|DC64|34406901|6291456|0.035332834000000|1000
corpus-webster|DC128|33310096|6291456|0.032407888000000|1000
corpus-webster|GCIS-ef|24363972|6291456|3.0692|1000
corpus-webster|DC8|24722016|6291456|0.304897963000000|10000
corpus-webster|DC16|27104927|6291456|0.277595541000000|10000
corpus-webster|DC32|31958165|6291456|0.296975946000000|10000
corpus-webster|DC64|34415901|6291456|0.312025887000000|10000
corpus-webster|DC128|33319096|6291456|0.293377967000000|10000
corpus-webster|GCIS-ef|24363972|6291456|29.2632|10000
