file|algorithm|peak|stack|time|substring_size
dna-dna|GCIS-ef|228571752|6291456|0.0751|1
dna-dna|DC3|176432869|6291456|0.035533633000000|1
dna-dna|DC4|237231398|6291456|0.018940497000000|1
dna-dna|DC5|185964838|6291456|0.049308457000000|1
dna-dna|DC6|156693268|6291456|0.015849426000000|1
dna-dna|DC7|143614664|6291456|0.021097944000000|1
dna-dna|DC8|135422962|6291456|0.005239689000000|1
dna-dna|DC9|131595604|6291456|0.037249550000000|1
dna-dna|DC11|153960032|6291456|0.007521115000000|1
dna-dna|DC15|425737601|6291456|0.010672369000000|1
dna-dna|DC30|432087512|6291456|0.002744465000000|1
dna-dna|DC32|431754030|6291456|0.002641809000000|1
dna-dna|DC60|423398418|6291456|0.003007926000000|1
dna-dna|DC64|422422478|6291456|0.002907345000000|1
dna-dna|GCIS-ef|228571752|6291456|0.1085|10
dna-dna|DC3|176432878|6291456|0.035150597000000|10
dna-dna|DC4|237231407|6291456|0.018977177000000|10
dna-dna|DC5|185964847|6291456|0.049697607000000|10
dna-dna|DC6|156693277|6291456|0.015832089000000|10
dna-dna|DC7|143614673|6291456|0.021530361000000|10
dna-dna|DC8|135422971|6291456|0.005269589000000|10
dna-dna|DC9|131595613|6291456|0.038194734000000|10
dna-dna|DC11|153960041|6291456|0.008295416000000|10
dna-dna|DC15|425737610|6291456|0.011233627000000|10
dna-dna|DC30|432087521|6291456|0.002946781000000|10
dna-dna|DC32|431754039|6291456|0.003292472000000|10
dna-dna|DC60|423398427|6291456|0.002941212000000|10
dna-dna|DC64|422422487|6291456|0.002897234000000|10
dna-dna|GCIS-ef|228571752|6291456|0.3914|100
dna-dna|DC3|176432968|6291456|0.036240074000000|100
dna-dna|DC4|237231497|6291456|0.020037334000000|100
dna-dna|DC5|185964937|6291456|0.049876519000000|100
dna-dna|DC6|156693367|6291456|0.017620512000000|100
dna-dna|DC7|143614763|6291456|0.022588292000000|100
dna-dna|DC8|135423061|6291456|0.006644640000000|100
dna-dna|DC9|131595703|6291456|0.039888354000000|100
dna-dna|DC11|153960131|6291456|0.016188547000000|100
dna-dna|DC15|425737700|6291456|0.015326277000000|100
dna-dna|DC30|432087611|6291456|0.005682449000000|100
dna-dna|DC32|431754129|6291456|0.005882440000000|100
dna-dna|DC60|423398517|6291456|0.005161188000000|100
dna-dna|DC64|422422577|6291456|0.005005626000000|100
dna-dna|GCIS-ef|228571752|6291456|3.0858|1000
dna-dna|DC3|176433868|6291456|0.058028354000000|1000
dna-dna|DC4|237232397|6291456|0.050372223000000|1000
dna-dna|DC5|185965837|6291456|0.065944163000000|1000
dna-dna|DC6|156694267|6291456|0.038024185000000|1000
dna-dna|DC7|143615663|6291456|0.038175332000000|1000
dna-dna|DC8|135423961|6291456|0.028498958000000|1000
dna-dna|DC9|131596603|6291456|0.052506535000000|1000
dna-dna|DC11|153961031|6291456|0.042404510000000|1000
dna-dna|DC15|425738600|6291456|0.060750155000000|1000
dna-dna|DC30|432088511|6291456|0.034255777000000|1000
dna-dna|DC32|431755029|6291456|0.031025151000000|1000
dna-dna|DC60|423399417|6291456|0.020457924000000|1000
dna-dna|DC64|422423477|6291456|0.025012103000000|1000
dna-dna|GCIS-ef|228571752|6291456|29.1958|10000
dna-dna|DC3|176442868|6291456|0.474751385000000|10000
dna-dna|DC4|237241397|6291456|0.460861772000000|10000
dna-dna|DC5|185974837|6291456|0.446380391000000|10000
dna-dna|DC6|156703267|6291456|0.341637246000000|10000
dna-dna|DC7|143624663|6291456|0.284573634000000|10000
dna-dna|DC8|135432961|6291456|0.261534058000000|10000
dna-dna|DC9|131605603|6291456|0.249986372000000|10000
dna-dna|DC11|153970031|6291456|0.370750574000000|10000
dna-dna|DC15|425747600|6291456|0.549703531000000|10000
dna-dna|DC30|432097511|6291456|0.318900993000000|10000
dna-dna|DC32|431764029|6291456|0.293220671000000|10000
dna-dna|DC60|423408417|6291456|0.207060080000000|10000
dna-dna|DC64|422432477|6291456|0.221219563000000|10000
