file|algorithm|peak|stack|time|substring_size
pseudo-real-proteins.001.1|DC8|22187630|6291456|0.001072309000000|1
pseudo-real-proteins.001.1|DC16|16494664|6291456|0.001141215000000|1
pseudo-real-proteins.001.1|DC32|12130770|6291456|0.003013368000000|1
pseudo-real-proteins.001.1|DC64|30934547|6291456|0.002185727000000|1
pseudo-real-proteins.001.1|DC128|49251800|6291456|0.002762873000000|1
pseudo-real-proteins.001.1|GCIS-ef|6123460|6291456|0.0534|1
pseudo-real-proteins.001.1|DC8|22187639|6291456|0.001401413000000|10
pseudo-real-proteins.001.1|DC16|16494673|6291456|0.001505470000000|10
pseudo-real-proteins.001.1|DC32|12130779|6291456|0.003142225000000|10
pseudo-real-proteins.001.1|DC64|30934556|6291456|0.002262999000000|10
pseudo-real-proteins.001.1|DC128|49251809|6291456|0.002448613000000|10
pseudo-real-proteins.001.1|GCIS-ef|6123460|6291456|0.0840|10
pseudo-real-proteins.001.1|DC8|22187729|6291456|0.004169652000000|100
pseudo-real-proteins.001.1|DC16|16494763|6291456|0.003898866000000|100
pseudo-real-proteins.001.1|DC32|12130869|6291456|0.004427417000000|100
pseudo-real-proteins.001.1|DC64|30934646|6291456|0.004278203000000|100
pseudo-real-proteins.001.1|DC128|49251899|6291456|0.004520950000000|100
pseudo-real-proteins.001.1|GCIS-ef|6123460|6291456|0.3564|100
pseudo-real-proteins.001.1|DC8|22188629|6291456|0.030168816000000|1000
pseudo-real-proteins.001.1|DC16|16495663|6291456|0.024363187000000|1000
pseudo-real-proteins.001.1|DC32|12131769|6291456|0.021317824000000|1000
pseudo-real-proteins.001.1|DC64|30935546|6291456|0.023970626000000|1000
pseudo-real-proteins.001.1|DC128|49252799|6291456|0.021143779000000|1000
pseudo-real-proteins.001.1|GCIS-ef|6123460|6291456|3.0086|1000
pseudo-real-proteins.001.1|DC8|22197629|6291456|0.251990836000000|10000
pseudo-real-proteins.001.1|DC16|16504663|6291456|0.208729170000000|10000
pseudo-real-proteins.001.1|DC32|12140769|6291456|0.182885189000000|10000
pseudo-real-proteins.001.1|DC64|30944546|6291456|0.200712474000000|10000
pseudo-real-proteins.001.1|DC128|49261799|6291456|0.183430238000000|10000
pseudo-real-proteins.001.1|GCIS-ef|6123460|6291456|28.8517|10000
