file|algorithm|peak|stack|time|substring_size
real-coreutils|GCIS-ef|13272564|6291456|0.0626|1
real-coreutils|DC3|86272539|6291456|1.043829078000000|1
real-coreutils|DC4|89673422|6291456|0.199659793000000|1
real-coreutils|DC5|86740748|6291456|0.180245289000000|1
real-coreutils|DC6|85666964|6291456|0.385177718000000|1
real-coreutils|DC7|86557387|6291456|0.116992205000000|1
real-coreutils|DC8|89202434|6291456|0.176080265000000|1
real-coreutils|DC9|91475209|6291456|0.261699267000000|1
real-coreutils|DC11|96513970|6291456|0.052981592000000|1
real-coreutils|DC15|106001085|6291456|0.098686902000000|1
real-coreutils|DC30|130980280|6291456|0.022051047000000|1
real-coreutils|DC32|133341810|6291456|0.021867224000000|1
real-coreutils|DC60|158406382|6291456|0.046885732000000|1
real-coreutils|DC64|159368490|6291456|0.050793004000000|1
real-coreutils|GCIS-ef|13272564|6291456|0.0914|10
real-coreutils|DC3|86272548|6291456|1.029494495000000|10
real-coreutils|DC4|89673431|6291456|0.203669688000000|10
real-coreutils|DC5|86740757|6291456|0.181805379000000|10
real-coreutils|DC6|85666973|6291456|0.390811949000000|10
real-coreutils|DC7|86557396|6291456|0.117081782000000|10
real-coreutils|DC8|89202443|6291456|0.178353385000000|10
real-coreutils|DC9|91475218|6291456|0.264481252000000|10
real-coreutils|DC11|96513979|6291456|0.054300352000000|10
real-coreutils|DC15|106001094|6291456|0.097346507000000|10
real-coreutils|DC30|130980289|6291456|0.019290588000000|10
real-coreutils|DC32|133341819|6291456|0.021609380000000|10
real-coreutils|DC60|158406391|6291456|0.049254599000000|10
real-coreutils|DC64|159368499|6291456|0.053030259000000|10
real-coreutils|GCIS-ef|13272564|6291456|0.3555|100
real-coreutils|DC3|86272638|6291456|1.043805830000000|100
real-coreutils|DC4|89673521|6291456|0.206906136000000|100
real-coreutils|DC5|86740847|6291456|0.185098940000000|100
real-coreutils|DC6|85667063|6291456|0.397774273000000|100
real-coreutils|DC7|86557486|6291456|0.123962246000000|100
real-coreutils|DC8|89202533|6291456|0.183821518000000|100
real-coreutils|DC9|91475308|6291456|0.270929588000000|100
real-coreutils|DC11|96514069|6291456|0.058362067000000|100
real-coreutils|DC15|106001184|6291456|0.102564622000000|100
real-coreutils|DC30|130980379|6291456|0.025445888000000|100
real-coreutils|DC32|133341909|6291456|0.025487759000000|100
real-coreutils|DC60|158406481|6291456|0.051155375000000|100
real-coreutils|DC64|159368589|6291456|0.054847540000000|100
real-coreutils|GCIS-ef|13272564|6291456|2.8473|1000
real-coreutils|DC3|86273538|6291456|1.057838199000000|1000
real-coreutils|DC4|89674421|6291456|0.225759042000000|1000
real-coreutils|DC5|86741747|6291456|0.215641727000000|1000
real-coreutils|DC6|85667963|6291456|0.435007966000000|1000
real-coreutils|DC7|86558386|6291456|0.154336922000000|1000
real-coreutils|DC8|89203433|6291456|0.219571465000000|1000
real-coreutils|DC9|91476208|6291456|0.309408109000000|1000
real-coreutils|DC11|96514969|6291456|0.086711181000000|1000
real-coreutils|DC15|106002084|6291456|0.146018596000000|1000
real-coreutils|DC30|130981279|6291456|0.050486120000000|1000
real-coreutils|DC32|133342809|6291456|0.049027792000000|1000
real-coreutils|DC60|158407381|6291456|0.072472242000000|1000
real-coreutils|DC64|159369489|6291456|0.073961181000000|1000
real-coreutils|GCIS-ef|13272564|6291456|26.0909|10000
real-coreutils|DC3|86282538|6291456|1.225944692000000|10000
real-coreutils|DC4|89683421|6291456|0.477339758000000|10000
real-coreutils|DC5|86750747|6291456|0.454103242000000|10000
real-coreutils|DC6|85676963|6291456|0.659051233000000|10000
real-coreutils|DC7|86567386|6291456|0.406894574000000|10000
real-coreutils|DC8|89212433|6291456|0.461750055000000|10000
real-coreutils|DC9|91485208|6291456|0.568930915000000|10000
real-coreutils|DC11|96523969|6291456|0.336136475000000|10000
real-coreutils|DC15|106011084|6291456|0.444389640000000|10000
real-coreutils|DC30|130990279|6291456|0.278484936000000|10000
real-coreutils|DC32|133351809|6291456|0.260085824000000|10000
real-coreutils|DC60|158416381|6291456|0.254220177000000|10000
real-coreutils|DC64|159378489|6291456|0.266614935000000|10000
