file|algorithm|peak|stack|time|substring_size
real-kernel|DC8|100179999|6291456|0.001801279000000|1
real-kernel|DC16|101413358|6291456|0.002066239000000|1
real-kernel|DC32|103892850|6291456|0.002284401000000|1
real-kernel|DC64|109348430|6291456|0.002386944000000|1
real-kernel|DC128|109348430|6291456|0.002357038000000|1
real-kernel|GCIS-ef|7972540|6291456|0.0571|1
real-kernel|DC8|100180008|6291456|0.002071785000000|10
real-kernel|DC16|101413367|6291456|0.002446246000000|10
real-kernel|DC32|103892859|6291456|0.002791467000000|10
real-kernel|DC64|109348439|6291456|0.002959556000000|10
real-kernel|DC128|109348439|6291456|0.003079920000000|10
real-kernel|GCIS-ef|7972540|6291456|0.0838|10
real-kernel|DC8|100180098|6291456|0.005824320000000|100
real-kernel|DC16|101413457|6291456|0.005875445000000|100
real-kernel|DC32|103892949|6291456|0.006586217000000|100
real-kernel|DC64|109348529|6291456|0.006930065000000|100
real-kernel|DC128|109348529|6291456|0.007806586000000|100
real-kernel|GCIS-ef|7972540|6291456|0.3418|100
real-kernel|DC8|100180998|6291456|0.044815061000000|1000
real-kernel|DC16|101414357|6291456|0.040769236000000|1000
real-kernel|DC32|103893849|6291456|0.042231233000000|1000
real-kernel|DC64|109349429|6291456|0.046394557000000|1000
real-kernel|DC128|109349429|6291456|0.046058528000000|1000
real-kernel|GCIS-ef|7972540|6291456|2.7405|1000
real-kernel|DC8|100189998|6291456|0.399095976000000|10000
real-kernel|DC16|101423357|6291456|0.369977520000000|10000
real-kernel|DC32|103902849|6291456|0.366778613000000|10000
real-kernel|DC64|109358429|6291456|0.420213322000000|10000
real-kernel|DC128|109358429|6291456|0.414465491000000|10000
real-kernel|GCIS-ef|7972540|6291456|26.3741|10000
