file|algorithm|peak|stack|time|substring_size
artificial-fib41|DC32|787141|6291456|0.028484121000000|1
artificial-fib41|GCIS-ef|977340|6291456|0.0297|1
artificial-fib41|DC32|787150|6291456|0.028830398000000|10
artificial-fib41|GCIS-ef|977340|6291456|0.0352|10
artificial-fib41|DC32|787240|6291456|0.029401955000000|100
artificial-fib41|GCIS-ef|977340|6291456|0.0867|100
artificial-fib41|DC32|788140|6291456|0.035715122000000|1000
artificial-fib41|GCIS-ef|977340|6291456|0.5820|1000
artificial-fib41|DC32|797140|6291456|0.103744102000000|10000
artificial-fib41|GCIS-ef|977340|6291456|5.5154|10000
