file|algorithm|peak|stack|time|substring_size
pseudo-real-sources.001.2|DC32|45673030|6291456|0.009071615000000|1
pseudo-real-sources.001.2|GCIS-ef|5735952|6291456|0.1546|1
pseudo-real-sources.001.2|DC32|45673039|6291456|0.009422846000000|10
pseudo-real-sources.001.2|GCIS-ef|5735952|6291456|0.2587|10
pseudo-real-sources.001.2|DC32|45673129|6291456|0.019110721000000|100
pseudo-real-sources.001.2|GCIS-ef|5735952|6291456|0.9834|100
pseudo-real-sources.001.2|DC32|45674029|6291456|0.090191128000000|1000
pseudo-real-sources.001.2|GCIS-ef|5735952|6291456|7.2378|1000
pseudo-real-sources.001.2|DC32|45683029|6291456|0.681568303000000|10000
pseudo-real-sources.001.2|GCIS-ef|5735952|6291456|71.9298|10000
