file|algorithm|peak|stack|time|substring_size
pseudo-real-dna.001.1|GCX|22977375|6291456|0,005221218000000|1
pseudo-real-dna.001.1|GCIS-ef|5240296|6291456|0,0713|1
pseudo-real-dna.001.1|GCX|22977375|6291456|0,005999551000000|10
pseudo-real-dna.001.1|GCIS-ef|5240296|6291456|0,1075|10
pseudo-real-dna.001.1|GCX|22977375|6291456|0,011867724000000|100
pseudo-real-dna.001.1|GCIS-ef|5240296|6291456|0,4454|100
pseudo-real-dna.001.1|GCX|22977375|6291456|0,068500918000000|1000
pseudo-real-dna.001.1|GCIS-ef|5240296|6291456|3,8603|1000
pseudo-real-dna.001.1|GCX|22977375|6291456|0,433369443000000|10000
pseudo-real-dna.001.1|GCIS-ef|5240296|6291456|34,5544|10000
