file|algorithm|peak|stack|time|substring_size
artificial-tm29|GCX|26884597|6291456|0.000756499000000|1
artificial-tm29|GCIS-ef|978000|6291456|0.0352|1
artificial-tm29|SLP-PlainSlp_FblcFblc|0|0|3981.0000|1
artificial-tm29|GCX|26884597|6291456|0.000771763000000|10
artificial-tm29|GCIS-ef|978000|6291456|0.0420|10
artificial-tm29|SLP-PlainSlp_FblcFblc|0|0|2467.0000|10
artificial-tm29|GCX|26884597|6291456|0.001493067000000|100
artificial-tm29|GCIS-ef|978000|6291456|0.1024|100
artificial-tm29|SLP-PlainSlp_FblcFblc|0|0|2287.0000|100
artificial-tm29|GCX|26884597|6291456|0.007404726000000|1000
artificial-tm29|GCIS-ef|978000|6291456|0.6962|1000
artificial-tm29|SLP-PlainSlp_FblcFblc|0|0|4053.0000|1000
artificial-tm29|GCX|26884597|6291456|0.062309772000000|10000
artificial-tm29|GCIS-ef|978000|6291456|6.5787|10000
artificial-tm29|SLP-PlainSlp_FblcFblc|0|0|5400.0000|10000
