file|algorithm|peak|stack|time|substring_size
corpus-dickens|GCX|7549831|6291456|0.001361457000000|1
corpus-dickens|GCIS-ef|8014480|6291456|0.0407|1
corpus-dickens|GCX|7549831|6291456|0.001595319000000|10
corpus-dickens|GCIS-ef|8014480|6291456|0.0713|10
corpus-dickens|GCX|7549831|6291456|0.004826404000000|100
corpus-dickens|GCIS-ef|8014480|6291456|0.3394|100
corpus-dickens|GCX|7549831|6291456|0.023648168000000|1000
corpus-dickens|GCIS-ef|8014480|6291456|2.9500|1000
corpus-dickens|GCX|7549831|6291456|0.186109757000000|10000
corpus-dickens|GCIS-ef|8014480|6291456|28.3512|10000
