file|algorithm|peak|stack|time|substring_size
artificial-fib41|GCX|840500|6291456|0.028827754000000|1
artificial-fib41|GCIS-ef|980412|6291456|0.0281|1
artificial-fib41|PlainSlp_32Fblc|0|0|0.0020|1
artificial-fib41|PlainSlp_FblcFblc|0|0|0.0028|1
artificial-fib41|PlainSlp_IblcFblc|0|0|0.0034|1
artificial-fib41|PoSlp_Iblc|0|0|0.0459|1
artificial-fib41|PoSlp_Sd|0|0|0.0483|1
artificial-fib41|GCX|840500|6291456|0.028631517000000|10
artificial-fib41|GCIS-ef|980412|6291456|0.0334|10
artificial-fib41|PlainSlp_32Fblc|0|0|0.0023|10
artificial-fib41|PlainSlp_FblcFblc|0|0|0.0033|10
artificial-fib41|PlainSlp_IblcFblc|0|0|0.0042|10
artificial-fib41|PoSlp_Iblc|0|0|0.0589|10
artificial-fib41|PoSlp_Sd|0|0|0.0636|10
artificial-fib41|GCX|840500|6291456|0.029500368000000|100
artificial-fib41|GCIS-ef|980412|6291456|0.0836|100
artificial-fib41|PlainSlp_32Fblc|0|0|0.0052|100
artificial-fib41|PlainSlp_FblcFblc|0|0|0.0083|100
artificial-fib41|PlainSlp_IblcFblc|0|0|0.0114|100
artificial-fib41|PoSlp_Iblc|0|0|0.1862|100
artificial-fib41|PoSlp_Sd|0|0|0.2106|100
artificial-fib41|GCX|840500|6291456|0.034920034000000|1000
artificial-fib41|GCIS-ef|980412|6291456|0.5592|1000
artificial-fib41|PlainSlp_32Fblc|0|0|0.0333|1000
artificial-fib41|PlainSlp_FblcFblc|0|0|0.0578|1000
artificial-fib41|PlainSlp_IblcFblc|0|0|0.0822|1000
artificial-fib41|PoSlp_Iblc|0|0|1.4558|1000
artificial-fib41|PoSlp_Sd|0|0|1.6850|1000
artificial-fib41|GCX|840500|6291456|0.091762699000000|10000
artificial-fib41|GCIS-ef|980412|6291456|5.3044|10000
artificial-fib41|PlainSlp_32Fblc|0|0|0.3073|10000
artificial-fib41|PlainSlp_FblcFblc|0|0|0.5407|10000
artificial-fib41|PlainSlp_IblcFblc|0|0|0.7819|10000
artificial-fib41|PoSlp_Iblc|0|0|14.2341|10000
artificial-fib41|PoSlp_Sd|0|0|16.5799|10000
