file|algorithm|peak|stack|time|substring_size
artificial-rs.13|GCX|845821|6291456|0.009984176000000|1
artificial-rs.13|GCIS-ef|972128|6291456|0.0277|1
artificial-rs.13|PlainSlp_32Fblc|0|0|0.0023|1
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.0032|1
artificial-rs.13|PlainSlp_IblcFblc|0|0|0.0039|1
artificial-rs.13|PoSlp_Iblc|0|0|0.0562|1
artificial-rs.13|PoSlp_Sd|0|0|0.0580|1
artificial-rs.13|GCX|845821|6291456|0.010050411000000|10
artificial-rs.13|GCIS-ef|972128|6291456|0.0349|10
artificial-rs.13|PlainSlp_32Fblc|0|0|0.0028|10
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.0038|10
artificial-rs.13|PlainSlp_IblcFblc|0|0|0.0048|10
artificial-rs.13|PoSlp_Iblc|0|0|0.0705|10
artificial-rs.13|PoSlp_Sd|0|0|0.0745|10
artificial-rs.13|GCX|845821|6291456|0.010358197000000|100
artificial-rs.13|GCIS-ef|972128|6291456|0.1017|100
artificial-rs.13|PlainSlp_32Fblc|0|0|0.0060|100
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.0088|100
artificial-rs.13|PlainSlp_IblcFblc|0|0|0.0124|100
artificial-rs.13|PoSlp_Iblc|0|0|0.2064|100
artificial-rs.13|PoSlp_Sd|0|0|0.2333|100
artificial-rs.13|GCX|845821|6291456|0.015858467000000|1000
artificial-rs.13|GCIS-ef|972128|6291456|0.7492|1000
artificial-rs.13|PlainSlp_32Fblc|0|0|0.0347|1000
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.0561|1000
artificial-rs.13|PlainSlp_IblcFblc|0|0|0.0853|1000
artificial-rs.13|PoSlp_Iblc|0|0|1.5652|1000
artificial-rs.13|PoSlp_Sd|0|0|1.8114|1000
artificial-rs.13|GCX|845821|6291456|0.080980224000000|10000
artificial-rs.13|GCIS-ef|972128|6291456|7.3249|10000
artificial-rs.13|PlainSlp_32Fblc|0|0|0.3255|10000
artificial-rs.13|PlainSlp_FblcFblc|0|0|0.5230|10000
artificial-rs.13|PlainSlp_IblcFblc|0|0|0.8217|10000
artificial-rs.13|PoSlp_Iblc|0|0|15.1663|10000
artificial-rs.13|PoSlp_Sd|0|0|17.5886|10000
