file|algorithm|peak|stack|time|substring_size
large-corpus-archive|GCX|18846429|6291456|0.001344336000000|1
large-corpus-archive|GCIS-ef|13016576|6291456|0.0449|1
large-corpus-archive|PlainSlp_32Fblc|0|0|0.0060|1
large-corpus-archive|PlainSlp_FblcFblc|0|0|0.0062|1
large-corpus-archive|PlainSlp_IblcFblc|0|0|0.0070|1
large-corpus-archive|PoSlp_Iblc|0|0|0.1399|1
large-corpus-archive|PoSlp_Sd|0|0|0.1427|1
large-corpus-archive|GCX|18846429|6291456|0.001634581000000|10
large-corpus-archive|GCIS-ef|13016576|6291456|0.0746|10
large-corpus-archive|PlainSlp_32Fblc|0|0|0.0071|10
large-corpus-archive|PlainSlp_FblcFblc|0|0|0.0080|10
large-corpus-archive|PlainSlp_IblcFblc|0|0|0.0089|10
large-corpus-archive|PoSlp_Iblc|0|0|0.1699|10
large-corpus-archive|PoSlp_Sd|0|0|0.1758|10
large-corpus-archive|GCX|18846429|6291456|0.003695408000000|100
large-corpus-archive|GCIS-ef|13016576|6291456|0.3459|100
large-corpus-archive|PlainSlp_32Fblc|0|0|0.0162|100
large-corpus-archive|PlainSlp_FblcFblc|0|0|0.0207|100
large-corpus-archive|PlainSlp_IblcFblc|0|0|0.0239|100
large-corpus-archive|PoSlp_Iblc|0|0|0.4446|100
large-corpus-archive|PoSlp_Sd|0|0|0.4841|100
large-corpus-archive|GCX|18846429|6291456|0.020796328000000|1000
large-corpus-archive|GCIS-ef|13016576|6291456|2.9556|1000
large-corpus-archive|PlainSlp_32Fblc|0|0|0.0938|1000
large-corpus-archive|PlainSlp_FblcFblc|0|0|0.1381|1000
large-corpus-archive|PlainSlp_IblcFblc|0|0|0.1614|1000
large-corpus-archive|PoSlp_Iblc|0|0|3.0699|1000
large-corpus-archive|PoSlp_Sd|0|0|3.4578|1000
large-corpus-archive|GCX|18846429|6291456|0.178438770000000|10000
large-corpus-archive|GCIS-ef|13016576|6291456|28.8439|10000
large-corpus-archive|PlainSlp_32Fblc|0|0|0.8292|10000
large-corpus-archive|PlainSlp_FblcFblc|0|0|1.2606|10000
large-corpus-archive|PlainSlp_IblcFblc|0|0|1.4924|10000
large-corpus-archive|PoSlp_Iblc|0|0|29.1803|10000
large-corpus-archive|PoSlp_Sd|0|0|32.7337|10000
