file|algorithm|peak|stack|time|substring_size
pseudo-real-dblp.xml.00001.1|GCX|12985065|6291456|0.001143400000000|1
pseudo-real-dblp.xml.00001.1|GCIS-ef|1461196|6291456|0.0505|1
pseudo-real-dblp.xml.00001.1|PlainSlp_32Fblc|0|0|0.0079|1
pseudo-real-dblp.xml.00001.1|PlainSlp_FblcFblc|0|0|0.0100|1
pseudo-real-dblp.xml.00001.1|PlainSlp_IblcFblc|0|0|0.0119|1
pseudo-real-dblp.xml.00001.1|PoSlp_Iblc|0|0|0.2564|1
pseudo-real-dblp.xml.00001.1|PoSlp_Sd|0|0|0.2589|1
pseudo-real-dblp.xml.00001.1|GCX|12985065|6291456|0.001324168000000|10
pseudo-real-dblp.xml.00001.1|GCIS-ef|1461196|6291456|0.0741|10
pseudo-real-dblp.xml.00001.1|PlainSlp_32Fblc|0|0|0.0088|10
pseudo-real-dblp.xml.00001.1|PlainSlp_FblcFblc|0|0|0.0114|10
pseudo-real-dblp.xml.00001.1|PlainSlp_IblcFblc|0|0|0.0136|10
pseudo-real-dblp.xml.00001.1|PoSlp_Iblc|0|0|0.2852|10
pseudo-real-dblp.xml.00001.1|PoSlp_Sd|0|0|0.2913|10
pseudo-real-dblp.xml.00001.1|GCX|12985065|6291456|0.003419036000000|100
pseudo-real-dblp.xml.00001.1|GCIS-ef|1461196|6291456|0.2850|100
pseudo-real-dblp.xml.00001.1|PlainSlp_32Fblc|0|0|0.0155|100
pseudo-real-dblp.xml.00001.1|PlainSlp_FblcFblc|0|0|0.0206|100
pseudo-real-dblp.xml.00001.1|PlainSlp_IblcFblc|0|0|0.0254|100
pseudo-real-dblp.xml.00001.1|PoSlp_Iblc|0|0|0.5324|100
pseudo-real-dblp.xml.00001.1|PoSlp_Sd|0|0|0.5668|100
pseudo-real-dblp.xml.00001.1|GCX|12985065|6291456|0.020522233000000|1000
pseudo-real-dblp.xml.00001.1|GCIS-ef|1461196|6291456|2.3568|1000
pseudo-real-dblp.xml.00001.1|PlainSlp_32Fblc|0|0|0.0711|1000
pseudo-real-dblp.xml.00001.1|PlainSlp_FblcFblc|0|0|0.1036|1000
pseudo-real-dblp.xml.00001.1|PlainSlp_IblcFblc|0|0|0.1325|1000
pseudo-real-dblp.xml.00001.1|PoSlp_Iblc|0|0|2.8945|1000
pseudo-real-dblp.xml.00001.1|PoSlp_Sd|0|0|3.2084|1000
pseudo-real-dblp.xml.00001.1|GCX|12985065|6291456|0.182227519000000|10000
pseudo-real-dblp.xml.00001.1|GCIS-ef|1461196|6291456|22.3256|10000
pseudo-real-dblp.xml.00001.1|PlainSlp_32Fblc|0|0|0.5879|10000
pseudo-real-dblp.xml.00001.1|PlainSlp_FblcFblc|0|0|0.8872|10000
pseudo-real-dblp.xml.00001.1|PlainSlp_IblcFblc|0|0|1.1547|10000
pseudo-real-dblp.xml.00001.1|PoSlp_Iblc|0|0|26.2377|10000
pseudo-real-dblp.xml.00001.1|PoSlp_Sd|0|0|29.4013|10000
