file|algorithm|peak|stack|time|substring_size
real-cere|GCX|150011508|6291456|0.002178006000000|1
real-cere|GCIS-ef|21645880|6291456|0.0787|1
real-cere|PlainSlp_32Fblc|0|0|0.0130|1
real-cere|PlainSlp_FblcFblc|0|0|0.0143|1
real-cere|PlainSlp_IblcFblc|0|0|0.0161|1
real-cere|PoSlp_Iblc|0|0|0.2542|1
real-cere|PoSlp_Sd|0|0|0.2576|1
real-cere|GCX|150011508|6291456|0.002485414000000|10
real-cere|GCIS-ef|21645880|6291456|0.1053|10
real-cere|PlainSlp_32Fblc|0|0|0.0143|10
real-cere|PlainSlp_FblcFblc|0|0|0.0160|10
real-cere|PlainSlp_IblcFblc|0|0|0.0177|10
real-cere|PoSlp_Iblc|0|0|0.2786|10
real-cere|PoSlp_Sd|0|0|0.2857|10
real-cere|GCX|150011508|6291456|0.005378423000000|100
real-cere|GCIS-ef|21645880|6291456|0.3519|100
real-cere|PlainSlp_32Fblc|0|0|0.0245|100
real-cere|PlainSlp_FblcFblc|0|0|0.0289|100
real-cere|PlainSlp_IblcFblc|0|0|0.0334|100
real-cere|PoSlp_Iblc|0|0|0.5093|100
real-cere|PoSlp_Sd|0|0|0.5525|100
real-cere|GCX|150011508|6291456|0.036824951000000|1000
real-cere|GCIS-ef|21645880|6291456|2.6152|1000
real-cere|PlainSlp_32Fblc|0|0|0.1089|1000
real-cere|PlainSlp_FblcFblc|0|0|0.1428|1000
real-cere|PlainSlp_IblcFblc|0|0|0.1699|1000
real-cere|PoSlp_Iblc|0|0|2.8053|1000
real-cere|PoSlp_Sd|0|0|3.1646|1000
real-cere|GCX|150011508|6291456|0.338377268000000|10000
real-cere|GCIS-ef|21645880|6291456|23.8624|10000
real-cere|PlainSlp_32Fblc|0|0|0.8993|10000
real-cere|PlainSlp_FblcFblc|0|0|1.2443|10000
real-cere|PlainSlp_IblcFblc|0|0|1.4775|10000
real-cere|PoSlp_Iblc|0|0|25.6043|10000
real-cere|PoSlp_Sd|0|0|29.0289|10000
