file|algorithm|peak|stack|time|substring_size
corpus-howto|GCX|30063583|6291456|0.001843155000000|1
corpus-howto|GCIS-ef|25205348|6291456|0.0440|1
corpus-howto|PlainSlp_32Fblc|0|0|0.0097|1
corpus-howto|PlainSlp_FblcFblc|0|0|0.0116|1
corpus-howto|GCX|30063583|6291456|0.002021537000000|10
corpus-howto|GCIS-ef|25205348|6291456|0.0721|10
corpus-howto|PlainSlp_32Fblc|0|0|0.0113|10
corpus-howto|PlainSlp_FblcFblc|0|0|0.0129|10
corpus-howto|GCX|30063583|6291456|0.004673037000000|100
corpus-howto|GCIS-ef|25205348|6291456|0.3181|100
corpus-howto|PlainSlp_32Fblc|0|0|0.0221|100
corpus-howto|PlainSlp_FblcFblc|0|0|0.0283|100
corpus-howto|GCX|30063583|6291456|0.033227512000000|1000
corpus-howto|GCIS-ef|25205348|6291456|2.7044|1000
corpus-howto|PlainSlp_32Fblc|0|0|0.1086|1000
corpus-howto|PlainSlp_FblcFblc|0|0|0.1579|1000
corpus-howto|GCX|30063583|6291456|0.266059188000000|10000
corpus-howto|GCIS-ef|25205348|6291456|25.8460|10000
corpus-howto|PlainSlp_32Fblc|0|0|0.9444|10000
corpus-howto|PlainSlp_FblcFblc|0|0|1.4090|10000
