file|algorithm|peak|stack|time|substring_size
corpus-nci|GCX|11384117|6291456|0.001028828000000|1
corpus-nci|GCIS-ef|5709920|6291456|0.0424|1
corpus-nci|PlainSlp_32Fblc|0|0|0.0177|1
corpus-nci|PlainSlp_FblcFblc|0|0|0.0109|1
corpus-nci|GCX|11384117|6291456|0.001199798000000|10
corpus-nci|GCIS-ef|5709920|6291456|0.0669|10
corpus-nci|PlainSlp_32Fblc|0|0|0.0049|10
corpus-nci|PlainSlp_FblcFblc|0|0|0.0065|10
corpus-nci|GCX|11384117|6291456|0.002110400000000|100
corpus-nci|GCIS-ef|5709920|6291456|0.2947|100
corpus-nci|PlainSlp_32Fblc|0|0|0.0100|100
corpus-nci|PlainSlp_FblcFblc|0|0|0.0140|100
corpus-nci|GCX|11384117|6291456|0.012158541000000|1000
corpus-nci|GCIS-ef|5709920|6291456|2.6791|1000
corpus-nci|PlainSlp_32Fblc|0|0|0.0537|1000
corpus-nci|PlainSlp_FblcFblc|0|0|0.0851|1000
corpus-nci|GCX|11384117|6291456|0.105371411000000|10000
corpus-nci|GCIS-ef|5709920|6291456|26.1763|10000
corpus-nci|PlainSlp_32Fblc|0|0|0.4707|10000
corpus-nci|PlainSlp_FblcFblc|0|0|0.7719|10000
