file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
real-world_leaders|GC3|438439265|6291456|0.835068000000000|135440473|6291456|0.134110000000000|10191565|46968181
real-world_leaders|GC4|423100084|6291456|0.742973000000000|104153884|6291456|0.107941000000000|10217148|46968181
real-world_leaders|GC5|414341454|6291456|0.765948000000000|95423298|6291456|0.092668000000000|10880250|46968181
real-world_leaders|GC6|408764608|6291456|0.776591000000000|89819364|6291456|0.081557000000000|11538804|46968181
real-world_leaders|GC7|404911791|6291456|0.711473000000000|85589182|6291456|0.074291000000000|11781747|46968181
real-world_leaders|GC8|402139156|6291456|0.760848000000000|82533292|6291456|0.065260000000000|12080812|46968181
real-world_leaders|GC9|400108702|6291456|0.762557000000000|80354569|6291456|0.065940000000000|12511342|46968181
real-world_leaders|GC11|397409027|6291456|0.723031000000000|77253766|6291456|0.059840000000000|13206019|46968181
real-world_leaders|GC15|394946959|6291456|0.748645000000000|73656367|6291456|0.052570000000000|14162995|46968181
real-world_leaders|GC30|395238754|6291456|0.819177000000000|70467594|6291456|0.054119000000000|17236710|46968181
real-world_leaders|GC32|395534404|6291456|0.851275000000000|70512192|6291456|0.055259000000000|17672112|46968181
real-world_leaders|GC60|400710844|6291456|0.770205000000000|73914944|6291456|0.053792000000000|23814320|46968181
real-world_leaders|GC64|401515652|6291456|0.779942000000000|74594516|6291456|0.057612000000000|24690036|46968181
real-world_leaders|GCIS-ef|247180734|6291456|1.4996|110617430|6291456|0.7760| 1809073|46968181
real-world_leaders|GCIS-s8b|245462938|6291456|1.4200|111034414|6291456|0.2756| 1586883|46968181
