file|algorithm|peak|stack|time|substring_size
code-sources|GCX|156972230|6291456|0.002384004000000|1
code-sources|GCIS-ef|108185124|6291456|0.0655|1
code-sources|PlainSlp_32Fblc|0|0|0.0133|1
code-sources|PlainSlp_FblcFblc|0|0|0.0158|1
code-sources|GCX|156972230|6291456|0.002559719000000|10
code-sources|GCIS-ef|108185124|6291456|0.0953|10
code-sources|PlainSlp_32Fblc|0|0|0.0157|10
code-sources|PlainSlp_FblcFblc|0|0|0.0183|10
code-sources|GCX|156972230|6291456|0.006723476000000|100
code-sources|GCIS-ef|108185124|6291456|0.3663|100
code-sources|PlainSlp_32Fblc|0|0|0.0287|100
code-sources|PlainSlp_FblcFblc|0|0|0.0353|100
code-sources|GCX|156972230|6291456|0.047449926000000|1000
code-sources|GCIS-ef|108185124|6291456|2.8472|1000
code-sources|PlainSlp_32Fblc|0|0|0.1302|1000
code-sources|PlainSlp_FblcFblc|0|0|0.1720|1000
code-sources|GCX|156972230|6291456|0.418510894000000|10000
code-sources|GCIS-ef|108185124|6291456|26.2429|10000
code-sources|PlainSlp_32Fblc|0|0|1.0329|10000
code-sources|PlainSlp_FblcFblc|0|0|1.4111|10000
