file|algorithm|peak|stack|time|substring_size
corpus-webster|GCX|31998453|6291456|0.001887805000000|1
corpus-webster|GCIS-ef|24363972|6291456|0.0444|1
corpus-webster|PlainSlp_32Fblc|0|0|0.0073|1
corpus-webster|PlainSlp_FblcFblc|0|0|0.0081|1
corpus-webster|GCX|31998453|6291456|0.002200315000000|10
corpus-webster|GCIS-ef|24363972|6291456|0.0739|10
corpus-webster|PlainSlp_32Fblc|0|0|0.0091|10
corpus-webster|PlainSlp_FblcFblc|0|0|0.0100|10
corpus-webster|GCX|31998453|6291456|0.004733974000000|100
corpus-webster|GCIS-ef|24363972|6291456|0.3448|100
corpus-webster|PlainSlp_32Fblc|0|0|0.0180|100
corpus-webster|PlainSlp_FblcFblc|0|0|0.0228|100
corpus-webster|GCX|31998453|6291456|0.031698204000000|1000
corpus-webster|GCIS-ef|24363972|6291456|3.0005|1000
corpus-webster|PlainSlp_32Fblc|0|0|0.0969|1000
corpus-webster|PlainSlp_FblcFblc|0|0|0.1372|1000
corpus-webster|GCX|31998453|6291456|0.276897101000000|10000
corpus-webster|GCIS-ef|24363972|6291456|28.3374|10000
corpus-webster|PlainSlp_32Fblc|0|0|0.8688|10000
corpus-webster|PlainSlp_FblcFblc|0|0|1.2584|10000
