file|algorithm|peak|stack|time|substring_size
real-coreutils|GCX|92971351|6291456|0.002270032000000|1
real-coreutils|GCIS-ef|13272564|6291456|0.0595|1
real-coreutils|PlainSlp_32Fblc|0|0|0.0828|1
real-coreutils|PlainSlp_FblcFblc|0|0|0.0918|1
real-coreutils|GCX|92971351|6291456|0.002517539000000|10
real-coreutils|GCIS-ef|13272564|6291456|0.0879|10
real-coreutils|PlainSlp_32Fblc|0|0|0.0901|10
real-coreutils|PlainSlp_FblcFblc|0|0|0.1074|10
real-coreutils|GCX|92971351|6291456|0.005628569000000|100
real-coreutils|GCIS-ef|13272564|6291456|0.3436|100
real-coreutils|PlainSlp_32Fblc|0|0|0.0974|100
real-coreutils|PlainSlp_FblcFblc|0|0|0.1160|100
real-coreutils|GCX|92971351|6291456|0.035785021000000|1000
real-coreutils|GCIS-ef|13272564|6291456|2.7279|1000
real-coreutils|PlainSlp_32Fblc|0|0|0.1924|1000
real-coreutils|PlainSlp_FblcFblc|0|0|0.2477|1000
real-coreutils|GCX|92971351|6291456|0.313053711000000|10000
real-coreutils|GCIS-ef|13272564|6291456|25.2941|10000
real-coreutils|PlainSlp_32Fblc|0|0|0.9392|10000
real-coreutils|PlainSlp_FblcFblc|0|0|1.3555|10000
