file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size
real-influenza|GCX|1290907446|6291456|6.225902000000000|227038588|6291456|0.262564000000000|33518452|154808555
real-influenza|GCIS-ef|825195307|6291456|7.6771|390107360|6291456|4.1090|8758648|154808555
real-influenza|GCIS-s8b|813104869|6291456|7.3931|388634540|6291456|1.5114|7361187|154808555
real-influenza|REPAIR|4513193106|6291456|42.269849|28138060|6291456|0.355094|5053601|154808555
real-influenza|GC3|1444881307|6291456|3.422677000000000|437610075|6291456|0.488948000000000|24786843|154808555
real-influenza|GC4|1393283724|6291456|3.148933000000000|335141356|6291456|0.352938000000000|25523932|154808555
real-influenza|GC5|1362337712|6291456|3.074222000000000|304561011|6291456|0.305242000000000|25905288|154808555
real-influenza|GC6|1341727984|6291456|3.044160000000000|284079508|6291456|0.277491000000000|26064988|154808555
real-influenza|GC7|1327083405|6291456|3.058855000000000|270157108|6291456|0.235665000000000|26886225|154808555
real-influenza|GC8|1316419860|6291456|3.126469000000000|261314756|6291456|0.266001000000000|29101700|154808555
real-influenza|GC9|1309037080|6291456|3.150735000000000|254364309|6291456|0.269867000000000|30751728|154808555
real-influenza|GC11|1300797048|6291456|3.161339000000000|247012854|6291456|0.250070000000000|35910012|154808555
real-influenza|GC15|1291849774|6291456|3.183980000000000|233597137|6291456|0.225695000000000|37505830|154808555
real-influenza|GC30|1294170034|6291456|3.055523000000000|225008150|6291456|0.242178000000000|49557806|154808555
real-influenza|GC32|1296438308|6291456|2.998223000000000|226382104|6291456|0.226906000000000|52221448|154808555
real-influenza|GC60|1319741464|6291456|2.763802000000000|243269888|6291456|0.214206000000000|78138272|154808555
real-influenza|GC64|1323740036|6291456|2.703098000000000|246815604|6291456|0.239846000000000|82327316|154808555
