file|algorithm|peak|stack|time|substring_size
real-influenza|GCX|34185549|6291456|0.002537912000000|1
real-influenza|GCIS-ef|9818532|6291456|0.0546|1
real-influenza|PlainSlp_32Fblc|0|0|0.0061|1
real-influenza|PlainSlp_FblcFblc|0|0|0.0067|1
real-influenza|GCX|34185549|6291456|0.002698142000000|10
real-influenza|GCIS-ef|9818532|6291456|0.0803|10
real-influenza|PlainSlp_32Fblc|0|0|0.0071|10
real-influenza|PlainSlp_FblcFblc|0|0|0.0082|10
real-influenza|GCX|34185549|6291456|0.005201854000000|100
real-influenza|GCIS-ef|9818532|6291456|0.3199|100
real-influenza|PlainSlp_32Fblc|0|0|0.0157|100
real-influenza|PlainSlp_FblcFblc|0|0|0.0206|100
real-influenza|GCX|34185549|6291456|0.030085817000000|1000
real-influenza|GCIS-ef|9818532|6291456|2.6682|1000
real-influenza|PlainSlp_32Fblc|0|0|0.0946|1000
real-influenza|PlainSlp_FblcFblc|0|0|0.1358|1000
real-influenza|GCX|34185549|6291456|0.256390423000000|10000
real-influenza|GCIS-ef|9818532|6291456|24.7954|10000
real-influenza|PlainSlp_32Fblc|0|0|0.8148|10000
real-influenza|PlainSlp_FblcFblc|0|0|1.2298|10000
